"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"21","SUCCESS","76","76","253.38","110","363.38","00","253.38","760.14"
"26","SUCCESS","24","24","268.25","110","378.25","00","268.25","804.76"
"22","SUCCESS","07","07","274.27","110","384.27","00","274.27","822.81"
"08","SUCCESS","74","74","282.52","110","392.52","00","282.52","847.55"
"13","SUCCESS","30","30","309.63","110","419.63","00","309.63","928.89"
"19","SUCCESS","70","70","310.51","110","420.51","00","310.51","931.52"
"10","SUCCESS","40","40","338.2","110","448.2","00","338.2","1014.59"
"11","SUCCESS","98","98","517.76","110","627.76","00","517.76","1553.28"
"23","SUCCESS","86","86","524.59","110","634.59","00","524.59","1573.76"
"38","SUCCESS","19","19","531.71","110","641.71","00","531.71","1595.13"
"00","SUCCESS","13","13","540.93","110","650.93","00","540.93","1622.8"
"32","SUCCESS","34","34","579.14","110","689.14","00","579.14","1737.41"
"24","SUCCESS","04","04","616.01","110","726.01","00","616.01","1848.04"
"17","SUCCESS","57","57","647.03","110","757.03","00","647.03","1941.08"
"02","SUCCESS","02","02","666.05","110","776.05","00","666.05","1998.15"
"39","SUCCESS","72","72","678.32","110","788.32","00","678.32","2034.97"
"30","SUCCESS","45","45","680.68","110","790.68","00","680.68","2042.04"
"18","SUCCESS","59","59","689.38","110","799.38","00","689.38","2068.14"
"35","SUCCESS","51","51","702.22","110","812.22","00","702.22","2106.66"
"20","SUCCESS","42","42","726.27","110","836.27","00","726.27","2178.81"
"01","SUCCESS","75","75","728.22","110","838.22","00","728.22","2184.67"
"06","SUCCESS","73","73","745.61","110","855.61","00","745.61","2236.83"
"31","SUCCESS","15","15","756.96","110","866.96","00","756.96","2270.87"
"29","SUCCESS","83","83","767.16","110","877.16","00","767.16","2301.48"
"05","SUCCESS","53","53","791.81","110","901.81","00","791.81","2375.44"
"04","SUCCESS","80","80","820.89","110","930.89","00","820.89","2462.68"
"14","SUCCESS","74","74","545.16","392.52","937.68","282.52","827.68","1635.48"
"37","SUCCESS","22","22","882.71","110","992.71","00","882.71","2648.13"
"12","SUCCESS","20","20","885.73","110","995.73","00","885.73","2657.18"
"16","SUCCESS","55","55","913.75","110","1023.74","00","913.75","2741.24"
"25","SUCCESS","47","47","982.3","110","1092.3","00","982.3","2946.89"
"33","SUCCESS","36","36","1038.26","110","1148.26","00","1038.26","3114.79"
"07","SUCCESS","71","71","1047.03","110","1157.03","00","1047.03","3141.08"
"09","SUCCESS","71","71","116","1157.03","1273.03","1047.03","1163.03","348"
"03","SUCCESS","02","02","511.54","776.05","1287.59","666.05","1177.59","1534.61"
"27","SUCCESS","13","13","755.53","650.93","1406.46","540.93","1296.46","2266.58"
"28","SUCCESS","75","75","593.57","838.22","1431.79","728.22","1321.79","1780.71"
"34","SUCCESS","53","53","790.37","901.81","1692.18","791.81","1582.18","2371.11"
"15","SUCCESS","71","71","565.41","1273.03","1838.43","1163.03","1728.43","1696.22"
"36","SUCCESS","36","36","717.65","1148.26","1865.91","1038.26","1755.91","2152.94"
"Makespan using QLearning:","1930.259795511834"
"Total Completion Time:","31350.349999999995"
"Avg Completion Time:","783.7587499999998"
"Total Cost:","75277.46000000002"
"Avg Cost:","1881.9365000000005"
"Avg Waiting Time:","156.44625000000002"
