"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","RAM Utilization1","RAM Utilization2","RAM Utilization3","RAM Utilization4","RAM Utilization5","RAM Utilization6"
"07","SUCCESS","10","10","170","00.1","170.1","00","170","01","01","01","01","01","01"
"05","SUCCESS","11","11","176","00.1","176.1","00","176","01","01","01","01","01","01"
"01","SUCCESS","06","06","403","00.1","403.1","00","403","01","01","01","01","01","01"
"16","SUCCESS","09","09","414","00.1","414.1","00","414","01","01","01","01","01","01"
"15","SUCCESS","03","03","545","00.1","545.1","00","545","01","01","01","01","01","01"
"09","SUCCESS","11","11","401","176.1","577.1","176","577","01","01","01","01","01","01"
"00","SUCCESS","08","08","586","00.1","586.1","00","586","01","01","01","01","01","01"
"02","SUCCESS","02","02","593","00.1","593.1","00","593","01","01","01","01","01","01"
"32","SUCCESS","07","07","621","00.1","621.1","00","621","01","01","01","01","01","01"
"06","SUCCESS","04","04","682","00.1","682.1","00","682","01","01","01","01","01","01"
"04","SUCCESS","05","05","725","00.1","725.1","00","725","01","01","01","01","01","01"
"08","SUCCESS","10","10","564","170.1","734.1","170","734","01","01","01","01","01","01"
"12","SUCCESS","06","06","518","403.1","921.1","403","921","01","01","01","01","01","01"
"03","SUCCESS","08","08","447","586.1","1033.1","586","1033","01","01","01","01","01","01"
"43","SUCCESS","09","09","660","414.1","1074.1","414","1074","01","01","01","01","01","01"
"10","SUCCESS","02","02","590","593.1","1183.1","593","1183","01","01","01","01","01","01"
"23","SUCCESS","08","08","167","1033.1","1200.1","1033","1200","01","01","01","01","01","01"
"37","SUCCESS","07","07","610","621.1","1231.1","621","1231","01","01","01","01","01","01"
"19","SUCCESS","03","03","718","545.1","1263.1","545","1263","01","01","01","01","01","01"
"22","SUCCESS","11","11","699","577.1","1276.1","577","1276","01","01","01","01","01","01"
"48","SUCCESS","09","09","234","1074.1","1308.1","1074","1308","01","01","01","01","01","01"
"30","SUCCESS","05","05","619","725.1","1344.1","725","1344","01","01","01","01","01","01"
"11","SUCCESS","04","04","715","682.1","1397.1","682","1397","01","01","01","01","01","01"
"13","SUCCESS","10","10","681","734.1","1415.1","734","1415","01","01","01","01","01","01"
"14","SUCCESS","06","06","774","921.1","1695.1","921","1695","01","01","01","01","01","01"
"36","SUCCESS","05","05","366","1344.1","1710.1","1344","1710","01","01","01","01","01","01"
"39","SUCCESS","07","07","492","1231.1","1723.1","1231","1723","01","01","01","01","01","01"
"29","SUCCESS","08","08","656","1200.1","1856.1","1200","1856","01","01","01","01","01","01"
"20","SUCCESS","10","10","474","1415.1","1889.1","1415","1889","01","01","01","01","01","01"
"21","SUCCESS","03","03","650","1263.1","1913.1","1263","1913","01","01","01","01","01","01"
"17","SUCCESS","04","04","555","1397.1","1952.1","1397","1952","01","01","01","01","01","01"
"31","SUCCESS","02","02","783","1183.1","1966.1","1183","1966","01","01","01","01","01","01"
"26","SUCCESS","06","06","318","1695.1","2013.1","1695","2013","01","01","01","01","01","01"
"18","SUCCESS","04","04","208","1952.1","2160.1","1952","2160","01","01","01","01","01","01"
"24","SUCCESS","11","11","886","1276.1","2162.1","1276","2162","01","01","01","01","01","01"
"46","Failure","05","05","663","1710.1","2373.1","1710","2373","01","01","01","01","01","01"
"25","Failure","10","10","496","1889.1","2385.1","1889","2385","01","01","01","01","01","01"
"34","Failure","08","08","606","1856.1","2462.1","1856","2462","01","01","01","01","01","01"
"27","Failure","03","03","572","1913.1","2485.1","1913","2485","01","01","01","01","01","01"
"33","Failure","11","11","362","2162.1","2524.1","2162","2524","01","01","01","01","01","01"
"41","Failure","02","02","774","1966.1","2740.1","1966","2740","01","01","01","01","01","01"
"40","Failure","08","08","388","2462.1","2850.1","2462","2850","01","01","01","01","01","01"
"35","Failure","11","11","515","2524.1","3039.1","2524","3039","01","01","01","01","01","01"
"49","Failure","10","10","708","2385.1","3093.1","2385","3093","01","01","01","01","01","01"
"28","Failure","03","03","621","2485.1","3106.1","2485","3106","01","01","01","01","01","01"
"45","Failure","04","04","997","2160.1","3157.1","2160","3157","01","01","01","01","01","01"
"38","Failure","11","11","682","3039.1","3721.1","3039","3721","01","01","01","01","01","01"
"42","Failure","11","11","344","3721.1","4065.1","3721","4065","01","01","01","01","01","01"
"44","Failure","11","11","705","4065.1","4770.1","4065","4770","01","01","01","01","01","01"
"47","Failure","11","11","532","4770.1","5302.1","4770","5302","01","01","01","01","01","01"
"Makespan using QLearning:","6229.520732747515"
"Total Completion Time:","89982.0"
"Avg Completion Time:","1799.64"
"Total Cost:","55330.0"
"Avg Cost:","1106.6"
"Avg Waiting Time:","1246.34"
"Successful Rate:","0.7"
"Avg CPU Utilization:","2.103802281368821"
"Total Power:","3235635.0"
"Average Ram:","1.0"
