"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","RAM Utilization1","RAM Utilization2","RAM Utilization3","RAM Utilization4","RAM Utilization5","RAM Utilization6"
"19","SUCCESS","88","88","47","15","62","00","47","01","01","01","01","01","01"
"67","SUCCESS","08","08","64","15","79","00","64","01","01","01","01","01","01"
"29","SUCCESS","66","66","72","15","87","00","72","01","01","01","01","01","01"
"474","SUCCESS","111","111","78","15","93","00","78","01","01","01","01","01","01"
"63","SUCCESS","113","113","114","15","129","00","114","01","01","01","01","01","01"
"256","SUCCESS","09","09","119","15","134","00","119","01","01","01","01","01","01"
"104","SUCCESS","108","108","141","15","156","00","141","01","01","01","01","01","01"
"103","SUCCESS","86","86","149","15","164","00","149","01","01","01","01","01","01"
"217","SUCCESS","16","16","172","15","187","00","172","01","01","01","01","01","01"
"00","SUCCESS","41","41","196","15","211","00","196","01","01","01","01","01","01"
"39","SUCCESS","107","107","196","15","211","00","196","01","01","01","01","01","01"
"225","SUCCESS","27","27","205","15","220","00","205","01","01","01","01","01","01"
"31","SUCCESS","38","38","235","15","250","00","235","01","01","01","01","01","01"
"251","SUCCESS","112","112","258","15","273","00","258","01","01","01","01","01","01"
"277","SUCCESS","134","134","261","15","276","00","261","01","01","01","01","01","01"
"577","SUCCESS","111","111","201","93","294","78","279","01","01","01","01","01","01"
"239","SUCCESS","127","127","305","15","320","00","305","01","01","01","01","01","01"
"184","SUCCESS","75","75","307","15","322","00","307","01","01","01","01","01","01"
"71","SUCCESS","83","83","307","15","322","00","307","01","01","01","01","01","01"
"131","SUCCESS","94","94","308","15","323","00","308","01","01","01","01","01","01"
"189","SUCCESS","92","92","340","15","355","00","340","01","01","01","01","01","01"
"408","SUCCESS","67","67","345","15","360","00","345","01","01","01","01","01","01"
"46","SUCCESS","121","121","352","15","367","00","352","01","01","01","01","01","01"
"43","SUCCESS","129","129","352","15","367","00","352","01","01","01","01","01","01"
"18","SUCCESS","105","105","361","15","376","00","361","01","01","01","01","01","01"
"03","SUCCESS","136","136","361","15","376","00","361","01","01","01","01","01","01"
"423","SUCCESS","31","31","362","15","377","00","362","01","01","01","01","01","01"
"01","SUCCESS","22","22","367","15","382","00","367","01","01","01","01","01","01"
"146","SUCCESS","13","13","369","15","384","00","369","01","01","01","01","01","01"
"222","SUCCESS","28","28","374","15","389","00","374","01","01","01","01","01","01"
"116","SUCCESS","119","119","375","15","390","00","375","01","01","01","01","01","01"
"24","SUCCESS","103","103","377","15","392","00","377","01","01","01","01","01","01"
"232","SUCCESS","50","50","380","15","395","00","380","01","01","01","01","01","01"
"21","SUCCESS","12","12","388","15","403","00","388","01","01","01","01","01","01"
"50","SUCCESS","34","34","390","15","405","00","390","01","01","01","01","01","01"
"204","SUCCESS","77","77","391","15","406","00","391","01","01","01","01","01","01"
"48","SUCCESS","48","48","396","15","411","00","396","01","01","01","01","01","01"
"122","SUCCESS","03","03","397","15","412","00","397","01","01","01","01","01","01"
"195","SUCCESS","23","23","398","15","413","00","398","01","01","01","01","01","01"
"30","SUCCESS","33","33","403","15","418","00","403","01","01","01","01","01","01"
"15","SUCCESS","37","37","408","15","423","00","408","01","01","01","01","01","01"
"06","SUCCESS","151","151","422","15","437","00","422","01","01","01","01","01","01"
"26","SUCCESS","25","25","429","15","444","00","429","01","01","01","01","01","01"
"20","SUCCESS","61","61","440","15","455","00","440","01","01","01","01","01","01"
"526","SUCCESS","150","150","445","15","460","00","445","01","01","01","01","01","01"
"60","SUCCESS","142","142","446","15","461","00","446","01","01","01","01","01","01"
"155","SUCCESS","35","35","448","15","463","00","448","01","01","01","01","01","01"
"304","SUCCESS","131","131","448","15","463","00","448","01","01","01","01","01","01"
"401","SUCCESS","100","100","453","15","468","00","453","01","01","01","01","01","01"
"78","SUCCESS","45","45","459","15","474","00","459","01","01","01","01","01","01"
"38","SUCCESS","141","141","459","15","474","00","459","01","01","01","01","01","01"
"158","SUCCESS","06","06","464","15","479","00","464","01","01","01","01","01","01"
"61","SUCCESS","143","143","464","15","479","00","464","01","01","01","01","01","01"
"170","SUCCESS","65","65","482","15","497","00","482","01","01","01","01","01","01"
"12","SUCCESS","80","80","483","15","498","00","483","01","01","01","01","01","01"
"185","SUCCESS","75","75","179","322","501","307","486","01","01","01","01","01","01"
"390","SUCCESS","16","16","315","187","502","172","487","01","01","01","01","01","01"
"216","SUCCESS","17","17","492","15","507","00","492","01","01","01","01","01","01"
"347","SUCCESS","138","138","492","15","507","00","492","01","01","01","01","01","01"
"200","SUCCESS","99","99","495","15","510","00","495","01","01","01","01","01","01"
"02","SUCCESS","135","135","495","15","510","00","495","01","01","01","01","01","01"
"175","SUCCESS","96","96","498","15","513","00","498","01","01","01","01","01","01"
"87","SUCCESS","109","109","501","15","516","00","501","01","01","01","01","01","01"
"40","SUCCESS","102","102","504","15","519","00","504","01","01","01","01","01","01"
"299","SUCCESS","101","101","506","15","521","00","506","01","01","01","01","01","01"
"65","SUCCESS","15","15","513","15","528","00","513","01","01","01","01","01","01"
"198","SUCCESS","81","81","515","15","530","00","515","01","01","01","01","01","01"
"77","SUCCESS","14","14","516","15","531","00","516","01","01","01","01","01","01"
"28","SUCCESS","91","91","516","15","531","00","516","01","01","01","01","01","01"
"11","SUCCESS","60","60","526","15","541","00","526","01","01","01","01","01","01"
"302","SUCCESS","66","66","454","87","541","72","526","01","01","01","01","01","01"
"49","SUCCESS","74","74","538","15","553","00","538","01","01","01","01","01","01"
"149","SUCCESS","132","132","541","15","556","00","541","01","01","01","01","01","01"
"221","SUCCESS","133","133","556","15","571","00","556","01","01","01","01","01","01"
"171","SUCCESS","58","58","557","15","572","00","557","01","01","01","01","01","01"
"94","SUCCESS","130","130","557","15","572","00","557","01","01","01","01","01","01"
"213","SUCCESS","148","148","570","15","585","00","570","01","01","01","01","01","01"
"120","SUCCESS","125","125","576","15","591","00","576","01","01","01","01","01","01"
"283","SUCCESS","106","106","579","15","594","00","579","01","01","01","01","01","01"
"281","SUCCESS","27","27","377","220","597","205","582","01","01","01","01","01","01"
"25","SUCCESS","40","40","592","15","607","00","592","01","01","01","01","01","01"
"372","SUCCESS","65","65","115","497","612","482","597","01","01","01","01","01","01"
"59","SUCCESS","42","42","601","15","616","00","601","01","01","01","01","01","01"
"342","SUCCESS","29","29","603","15","618","00","603","01","01","01","01","01","01"
"227","SUCCESS","122","122","603","15","618","00","603","01","01","01","01","01","01"
"257","SUCCESS","32","32","604","15","619","00","604","01","01","01","01","01","01"
"70","SUCCESS","26","26","606","15","621","00","606","01","01","01","01","01","01"
"27","SUCCESS","62","62","606","15","621","00","606","01","01","01","01","01","01"
