"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","RAM Utilization1","RAM Utilization2","RAM Utilization3","RAM Utilization4","RAM Utilization5","RAM Utilization6"
"72","SUCCESS","83","83","52","220","272","00","52","01","01","01","01","01","01"
"119","SUCCESS","54","54","90","220","310","00","90","01","01","01","01","01","01"
"39","SUCCESS","93","93","105","220","325","00","105","01","01","01","01","01","01"
"13","SUCCESS","28","28","113","220","333","00","113","01","01","01","01","01","01"
"270","SUCCESS","127","127","129","220","349","00","129","01","01","01","01","01","01"
"596","SUCCESS","120","120","132","220","352","00","132","01","01","01","01","01","01"
"169","SUCCESS","110","110","153","220","373","00","153","01","01","01","01","01","01"
"116","SUCCESS","151","151","160","220","380","00","160","01","01","01","01","01","01"
"74","SUCCESS","69","69","162","220","382","00","162","01","01","01","01","01","01"
"52","SUCCESS","188","188","170","220","390","00","170","01","01","01","01","01","01"
"65","SUCCESS","100","100","181","220","401","00","181","01","01","01","01","01","01"
"729","SUCCESS","91","91","200","220","420","00","200","01","01","01","01","01","01"
"20","SUCCESS","97","97","202","220","422","00","202","01","01","01","01","01","01"
"56","SUCCESS","50","50","203","220","423","00","203","01","01","01","01","01","01"
"126","SUCCESS","62","62","218","220","438","00","218","01","01","01","01","01","01"
"31","SUCCESS","79","79","223","220","443","00","223","01","01","01","01","01","01"
"19","SUCCESS","29","29","234","220","454","00","234","01","01","01","01","01","01"
"38","SUCCESS","129","129","240","220","460","00","240","01","01","01","01","01","01"
"55","SUCCESS","108","108","246","220","466","00","246","01","01","01","01","01","01"
"423","SUCCESS","106","106","255","220","475","00","255","01","01","01","01","01","01"
"76","SUCCESS","117","117","256","220","476","00","256","01","01","01","01","01","01"
"317","SUCCESS","189","189","256","220","476","00","256","01","01","01","01","01","01"
"209","SUCCESS","89","89","272","220","492","00","272","01","01","01","01","01","01"
"48","SUCCESS","177","177","281","220","501","00","281","01","01","01","01","01","01"
"86","SUCCESS","80","80","286","220","506","00","286","01","01","01","01","01","01"
"04","SUCCESS","116","116","299","220","519","00","299","01","01","01","01","01","01"
"95","SUCCESS","168","168","299","220","519","00","299","01","01","01","01","01","01"
"316","SUCCESS","188","188","131","390","521","170","301","01","01","01","01","01","01"
"244","SUCCESS","131","131","304","220","524","00","304","01","01","01","01","01","01"
"87","SUCCESS","141","141","312","220","532","00","312","01","01","01","01","01","01"
"195","SUCCESS","176","176","318","220","538","00","318","01","01","01","01","01","01"
"230","SUCCESS","42","42","324","220","544","00","324","01","01","01","01","01","01"
"246","SUCCESS","128","128","332","220","552","00","332","01","01","01","01","01","01"
"12","SUCCESS","34","34","333","220","553","00","333","01","01","01","01","01","01"
"131","SUCCESS","36","36","335","220","555","00","335","01","01","01","01","01","01"
"27","SUCCESS","175","175","338","220","558","00","338","01","01","01","01","01","01"
"447","SUCCESS","118","118","352","220","572","00","352","01","01","01","01","01","01"
"175","SUCCESS","183","183","360","220","580","00","360","01","01","01","01","01","01"
"29","SUCCESS","201","201","363","220","583","00","363","01","01","01","01","01","01"
"132","SUCCESS","81","81","369","220","589","00","369","01","01","01","01","01","01"
"250","SUCCESS","143","143","372","220","592","00","372","01","01","01","01","01","01"
"41","SUCCESS","37","37","375","220","595","00","375","01","01","01","01","01","01"
"15","SUCCESS","31","31","378","220","598","00","378","01","01","01","01","01","01"
