"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","RAM Utilization1","RAM Utilization2","RAM Utilization3","RAM Utilization4","RAM Utilization5","RAM Utilization6"
"00","SUCCESS","181","181","489","20","509","00","489","01","01","01","01","01","01"
"01","SUCCESS","47","47","752","20","772","00","752","01","01","01","01","01","01"
"02","SUCCESS","79","79","478","20","498","00","478","01","01","01","01","01","01"
"03","SUCCESS","33","33","260","20","280","00","260","01","01","01","01","01","01"
"04","SUCCESS","42","42","754","20","774","00","754","01","01","01","01","01","01"
"05","SUCCESS","53","53","549","20","569","00","549","01","01","01","01","01","01"
"06","SUCCESS","140","140","496","20","516","00","496","01","01","01","01","01","01"
"07","SUCCESS","97","97","977","20","997","00","977","01","01","01","01","01","01"
"08","SUCCESS","42","42","603","774","1377","754","1357","01","01","01","01","01","01"
"09","SUCCESS","110","110","486","20","506","00","486","01","01","01","01","01","01"
"10","SUCCESS","58","58","216","20","236","00","216","01","01","01","01","01","01"
"11","SUCCESS","106","106","192","20","212","00","192","01","01","01","01","01","01"
"12","SUCCESS","70","70","428","20","448","00","428","01","01","01","01","01","01"
"13","SUCCESS","118","118","612","20","632","00","612","01","01","01","01","01","01"
"14","SUCCESS","116","116","582","20","602","00","582","01","01","01","01","01","01"
"15","SUCCESS","26","26","1018","20","1038","00","1018","01","01","01","01","01","01"
"16","SUCCESS","199","199","604","20","624","00","604","01","01","01","01","01","01"
"17","SUCCESS","40","40","751","20","771","00","751","01","01","01","01","01","01"
"18","SUCCESS","176","176","296","20","316","00","296","01","01","01","01","01","01"
"19","SUCCESS","76","76","494","20","514","00","494","01","01","01","01","01","01"
"20","SUCCESS","103","103","421","20","441","00","421","01","01","01","01","01","01"
"21","SUCCESS","60","60","476","20","496","00","476","01","01","01","01","01","01"
"22","SUCCESS","25","25","925","20","945","00","925","01","01","01","01","01","01"
"23","SUCCESS","68","68","433","20","453","00","433","01","01","01","01","01","01"
"24","SUCCESS","86","86","437","20","457","00","437","01","01","01","01","01","01"
"25","SUCCESS","119","119","777","20","797","00","777","01","01","01","01","01","01"
"26","SUCCESS","52","52","473","20","493","00","473","01","01","01","01","01","01"
"27","SUCCESS","167","167","594","20","614","00","594","01","01","01","01","01","01"
"28","SUCCESS","119","119","327","797","1124","777","1104","01","01","01","01","01","01"
"29","SUCCESS","110","110","700","506","1206","486","1186","01","01","01","01","01","01"
"30","SUCCESS","122","122","275","20","295","00","275","01","01","01","01","01","01"
"31","SUCCESS","112","112","757","20","777","00","757","01","01","01","01","01","01"
"32","SUCCESS","94","94","653","20","673","00","653","01","01","01","01","01","01"
"33","SUCCESS","64","64","725","20","745","00","725","01","01","01","01","01","01"
"34","SUCCESS","70","70","515","448","963","428","943","01","01","01","01","01","01"
"35","SUCCESS","112","112","453","777","1230","757","1210","01","01","01","01","01","01"
"36","SUCCESS","114","114","653","20","673","00","653","01","01","01","01","01","01"
"37","SUCCESS","87","87","951","20","971","00","951","01","01","01","01","01","01"
"38","SUCCESS","68","68","681","453","1134","433","1114","01","01","01","01","01","01"
"39","SUCCESS","155","155","847","20","867","00","847","01","01","01","01","01","01"
"40","SUCCESS","60","60","675","496","1171","476","1151","01","01","01","01","01","01"
"41","SUCCESS","183","183","561","20","581","00","561","01","01","01","01","01","01"
"42","SUCCESS","46","46","717","20","737","00","717","01","01","01","01","01","01"
"43","SUCCESS","158","158","774","20","794","00","774","01","01","01","01","01","01"
"44","SUCCESS","70","70","273","963","1236","943","1216","01","01","01","01","01","01"
"45","SUCCESS","19","19","638","20","658","00","638","01","01","01","01","01","01"
"46","SUCCESS","30","30","79","20","99","00","79","01","01","01","01","01","01"
"47","SUCCESS","188","188","566","20","586","00","566","01","01","01","01","01","01"
"48","SUCCESS","58","58","616","236","852","216","832","01","01","01","01","01","01"
"49","SUCCESS","198","198","300","20","320","00","300","01","01","01","01","01","01"
"50","SUCCESS","196","196","514","20","534","00","514","01","01","01","01","01","01"
"51","SUCCESS","15","15","433","20","453","00","433","01","01","01","01","01","01"
"52","SUCCESS","153","153","996","20","1016","00","996","01","01","01","01","01","01"
"53","SUCCESS","20","20","430","20","450","00","430","01","01","01","01","01","01"
"54","SUCCESS","119","119","152","1124","1276","1104","1256","01","01","01","01","01","01"
"55","SUCCESS","174","174","466","20","486","00","466","01","01","01","01","01","01"
"56","SUCCESS","72","72","195","20","215","00","195","01","01","01","01","01","01"
"57","SUCCESS","138","138","985","20","1005","00","985","01","01","01","01","01","01"
"58","SUCCESS","30","30","151","99","250","79","230","01","01","01","01","01","01"
"59","SUCCESS","40","40","270","771","1041","751","1021","01","01","01","01","01","01"
"60","SUCCESS","191","191","491","20","511","00","491","01","01","01","01","01","01"
"61","SUCCESS","53","53","325","569","894","549","874","01","01","01","01","01","01"
"62","SUCCESS","47","47","658","772","1430","752","1410","01","01","01","01","01","01"
"63","SUCCESS","44","44","770","20","790","00","770","01","01","01","01","01","01"
"64","SUCCESS","41","41","759","20","779","00","759","01","01","01","01","01","01"
"65","SUCCESS","130","130","448","20","468","00","448","01","01","01","01","01","01"
"66","SUCCESS","28","28","436","20","456","00","436","01","01","01","01","01","01"
"67","SUCCESS","34","34","933","20","953","00","933","01","01","01","01","01","01"
"68","SUCCESS","104","104","433","20","453","00","433","01","01","01","01","01","01"
"69","SUCCESS","39","39","403","20","423","00","403","01","01","01","01","01","01"
"70","SUCCESS","75","75","803","20","823","00","803","01","01","01","01","01","01"
"71","SUCCESS","85","85","759","20","779","00","759","01","01","01","01","01","01"
"72","SUCCESS","166","166","235","20","255","00","235","01","01","01","01","01","01"
"73","SUCCESS","11","11","230","20","250","00","230","01","01","01","01","01","01"
"74","SUCCESS","52","52","386","493","879","473","859","01","01","01","01","01","01"
"75","Failure","47","47","816","1430","2246","1410","2226","01","01","01","01","01","01"
"76","SUCCESS","39","39","1014","423","1437","403","1417","01","01","01","01","01","01"
"77","SUCCESS","35","35","686","20","706","00","686","01","01","01","01","01","01"
"78","SUCCESS","17","17","765","20","785","00","765","01","01","01","01","01","01"
"79","SUCCESS","174","174","657","486","1143","466","1123","01","01","01","01","01","01"
"80","SUCCESS","66","66","823","20","843","00","823","01","01","01","01","01","01"
"81","SUCCESS","71","71","573","20","593","00","573","01","01","01","01","01","01"
"82","SUCCESS","51","51","379","20","399","00","379","01","01","01","01","01","01"
"83","SUCCESS","42","42","713","1377","2090","1357","2070","01","01","01","01","01","01"
"84","SUCCESS","190","190","637","20","657","00","637","01","01","01","01","01","01"
