"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","RAM Utilization1","RAM Utilization2","RAM Utilization3","RAM Utilization4","RAM Utilization5","RAM Utilization6"
"420","SUCCESS","33","33","83","220","303","00","83","01","01","01","01","01","01"
"144","SUCCESS","111","111","99","220","319","00","99","01","01","01","01","01","01"
"67","SUCCESS","196","196","101","220","321","00","101","01","01","01","01","01","01"
"154","SUCCESS","25","25","127","220","347","00","127","01","01","01","01","01","01"
"43","SUCCESS","137","137","130","220","350","00","130","01","01","01","01","01","01"
"429","SUCCESS","49","49","155","220","375","00","155","01","01","01","01","01","01"
"32","SUCCESS","121","121","169","220","389","00","169","01","01","01","01","01","01"
"24","SUCCESS","109","109","199","220","419","00","199","01","01","01","01","01","01"
"342","SUCCESS","178","178","205","220","425","00","205","01","01","01","01","01","01"
"206","SUCCESS","165","165","213","220","433","00","213","01","01","01","01","01","01"
"134","SUCCESS","199","199","234","220","454","00","234","01","01","01","01","01","01"
"88","SUCCESS","181","181","235","220","455","00","235","01","01","01","01","01","01"
"77","SUCCESS","104","104","239","220","459","00","239","01","01","01","01","01","01"
"20","SUCCESS","47","47","245","220","465","00","245","01","01","01","01","01","01"
"132","SUCCESS","140","140","247","220","467","00","247","01","01","01","01","01","01"
"157","SUCCESS","111","111","158","319","477","99","257","01","01","01","01","01","01"
"398","SUCCESS","124","124","257","220","477","00","257","01","01","01","01","01","01"
"42","SUCCESS","168","168","288","220","508","00","288","01","01","01","01","01","01"
"470","SUCCESS","145","145","290","220","510","00","290","01","01","01","01","01","01"
"91","SUCCESS","71","71","305","220","525","00","305","01","01","01","01","01","01"
"175","SUCCESS","148","148","307","220","527","00","307","01","01","01","01","01","01"
"05","SUCCESS","31","31","309","220","529","00","309","01","01","01","01","01","01"
"125","SUCCESS","128","128","309","220","529","00","309","01","01","01","01","01","01"
"180","SUCCESS","82","82","311","220","531","00","311","01","01","01","01","01","01"
"313","SUCCESS","113","113","312","220","532","00","312","01","01","01","01","01","01"
"203","SUCCESS","159","159","313","220","533","00","313","01","01","01","01","01","01"
"63","SUCCESS","38","38","359","220","579","00","359","01","01","01","01","01","01"
"110","SUCCESS","92","92","361","220","581","00","361","01","01","01","01","01","01"
"00","SUCCESS","144","144","369","220","589","00","369","01","01","01","01","01","01"
"183","SUCCESS","154","154","369","220","589","00","369","01","01","01","01","01","01"
"73","SUCCESS","68","68","374","220","594","00","374","01","01","01","01","01","01"
"133","SUCCESS","176","176","374","220","594","00","374","01","01","01","01","01","01"
"185","SUCCESS","94","94","377","220","597","00","377","01","01","01","01","01","01"
"143","SUCCESS","197","197","400","220","620","00","400","01","01","01","01","01","01"
"463","SUCCESS","33","33","318","303","621","83","401","01","01","01","01","01","01"
"118","SUCCESS","133","133","405","220","625","00","405","01","01","01","01","01","01"
"285","SUCCESS","70","70","409","220","629","00","409","01","01","01","01","01","01"
"445","SUCCESS","49","49","255","375","630","155","410","01","01","01","01","01","01"
"242","SUCCESS","175","175","413","220","633","00","413","01","01","01","01","01","01"
"98","SUCCESS","180","180","414","220","634","00","414","01","01","01","01","01","01"
"25","SUCCESS","78","78","415","220","635","00","415","01","01","01","01","01","01"
"95","SUCCESS","28","28","417","220","637","00","417","01","01","01","01","01","01"
"14","SUCCESS","195","195","430","220","650","00","430","01","01","01","01","01","01"
"36","SUCCESS","45","45","434","220","654","00","434","01","01","01","01","01","01"
"145","SUCCESS","72","72","435","220","655","00","435","01","01","01","01","01","01"
"60","SUCCESS","139","139","446","220","666","00","446","01","01","01","01","01","01"
"31","SUCCESS","151","151","448","220","668","00","448","01","01","01","01","01","01"
"477","SUCCESS","171","171","448","220","668","00","448","01","01","01","01","01","01"
"06","SUCCESS","114","114","449","220","669","00","449","01","01","01","01","01","01"
"59","SUCCESS","118","118","451","220","671","00","451","01","01","01","01","01","01"
"155","SUCCESS","135","135","455","220","675","00","455","01","01","01","01","01","01"
"491","SUCCESS","57","57","459","220","679","00","459","01","01","01","01","01","01"
"205","SUCCESS","150","150","460","220","680","00","460","01","01","01","01","01","01"
"19","SUCCESS","58","58","461","220","681","00","461","01","01","01","01","01","01"
"136","SUCCESS","23","23","465","220","685","00","465","01","01","01","01","01","01"
"90","SUCCESS","198","198","466","220","686","00","466","01","01","01","01","01","01"
"246","SUCCESS","65","65","474","220","694","00","474","01","01","01","01","01","01"
"141","SUCCESS","188","188","478","220","698","00","478","01","01","01","01","01","01"
"169","SUCCESS","42","42","484","220","704","00","484","01","01","01","01","01","01"
"190","SUCCESS","163","163","484","220","704","00","484","01","01","01","01","01","01"
"162","SUCCESS","36","36","491","220","711","00","491","01","01","01","01","01","01"
"318","SUCCESS","81","81","491","220","711","00","491","01","01","01","01","01","01"
"312","SUCCESS","127","127","497","220","717","00","497","01","01","01","01","01","01"
"40","SUCCESS","164","164","497","220","717","00","497","01","01","01","01","01","01"
"28","SUCCESS","142","142","501","220","721","00","501","01","01","01","01","01","01"
"62","SUCCESS","22","22","503","220","723","00","503","01","01","01","01","01","01"
"37","SUCCESS","129","129","505","220","725","00","505","01","01","01","01","01","01"
"295","SUCCESS","185","185","510","220","730","00","510","01","01","01","01","01","01"
"149","SUCCESS","34","34","512","220","732","00","512","01","01","01","01","01","01"
"35","SUCCESS","162","162","512","220","732","00","512","01","01","01","01","01","01"
"30","SUCCESS","63","63","516","220","736","00","516","01","01","01","01","01","01"
"231","SUCCESS","59","59","522","220","742","00","522","01","01","01","01","01","01"
"188","SUCCESS","167","167","527","220","747","00","527","01","01","01","01","01","01"
"27","SUCCESS","62","62","528","220","748","00","528","01","01","01","01","01","01"
"245","SUCCESS","128","128","227","529","756","309","536","01","01","01","01","01","01"
"38","SUCCESS","126","126","541","220","761","00","541","01","01","01","01","01","01"
"66","SUCCESS","75","75","543","220","763","00","543","01","01","01","01","01","01"
"44","SUCCESS","80","80","546","220","766","00","546","01","01","01","01","01","01"
"352","SUCCESS","60","60","556","220","776","00","556","01","01","01","01","01","01"
"176","SUCCESS","157","157","561","220","781","00","561","01","01","01","01","01","01"
"57","SUCCESS","93","93","566","220","786","00","566","01","01","01","01","01","01"
"166","SUCCESS","123","123","572","220","792","00","572","01","01","01","01","01","01"
"159","SUCCESS","130","130","573","220","793","00","573","01","01","01","01","01","01"
"150","SUCCESS","141","141","574","220","794","00","574","01","01","01","01","01","01"
"03","SUCCESS","95","95","575","220","795","00","575","01","01","01","01","01","01"
"259","SUCCESS","66","66","582","220","802","00","582","01","01","01","01","01","01"
"148","SUCCESS","121","121","415","389","804","169","584","01","01","01","01","01","01"
"147","SUCCESS","186","186","592","220","812","00","592","01","01","01","01","01","01"
"567","SUCCESS","27","27","593","220","813","00","593","01","01","01","01","01","01"
"02","SUCCESS","119","119","593","220","813","00","593","01","01","01","01","01","01"
"70","SUCCESS","182","182","593","220","813","00","593","01","01","01","01","01","01"
"272","SUCCESS","39","39","594","220","814","00","594","01","01","01","01","01","01"
"187","SUCCESS","148","148","287","527","814","307","594","01","01","01","01","01","01"
"94","SUCCESS","166","166","599","220","819","00","599","01","01","01","01","01","01"
"281","SUCCESS","77","77","611","220","831","00","611","01","01","01","01","01","01"
"310","SUCCESS","133","133","207","625","832","405","612","01","01","01","01","01","01"
"96","SUCCESS","143","143","613","220","833","00","613","01","01","01","01","01","01"
"392","SUCCESS","69","69","617","220","837","00","617","01","01","01","01","01","01"
"139","SUCCESS","48","48","618","220","838","00","618","01","01","01","01","01","01"
"103","SUCCESS","30","30","619","220","839","00","619","01","01","01","01","01","01"
"93","SUCCESS","45","45","187","654","841","434","621","01","01","01","01","01","01"
"56","SUCCESS","97","97","623","220","843","00","623","01","01","01","01","01","01"
"329","SUCCESS","150","150","166","680","846","460","626","01","01","01","01","01","01"
"311","SUCCESS","104","104","391","459","850","239","630","01","01","01","01","01","01"
"561","SUCCESS","161","161","640","220","860","00","640","01","01","01","01","01","01"
