"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization","RAM Utilization"
"00","SUCCESS","03","03","274.87","00.2","275.07","00","274.87","824.61","01.33","01"
"01","SUCCESS","02","02","548.44","00.2","548.64","00","548.44","1645.32","01.2","01"
"02","SUCCESS","03","03","420.41","275.07","695.48","274.87","695.28","1261.22","01.14","01"
"03","SUCCESS","02","02","186.72","548.64","735.36","548.44","735.16","560.17","01.41","01"
"04","SUCCESS","02","02","551.75","735.36","1287.12","735.16","1286.92","1655.26","01.73","01"
"05","SUCCESS","03","03","627.03","695.48","1322.51","695.28","1322.31","1881.08","24.62","01"
"06","SUCCESS","02","02","493.61","1287.12","1780.72","1286.92","1780.52","1480.82","01.1","01"
"07","SUCCESS","02","02","535.11","1780.72","2315.84","1780.52","2315.64","1605.34","02.23","01"
"08","SUCCESS","02","02","850.14","2315.84","3165.98","2315.64","3165.78","2550.43","02.07","01"
"09","SUCCESS","02","02","861.99","3165.98","4027.98","3165.78","4027.78","2585.98","02.3","01"
"Makespan using QLearning:","4021.778413688711"
"Total Completion Time:","16152.7"
"Avg Completion Time:","1615.27"
"Total Cost:","16050.23"
"Avg Cost:","1605.023"
"Avg Waiting Time:","1080.261"
"Successful Rate:","1.0"
