"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization","RAM Utilization"
"00","SUCCESS","03","03","274.87","00.1","274.97","00","274.87","824.61","01.33","01"
"01","SUCCESS","03","03","352.36","274.97","627.33","274.87","627.23","1057.08","03.94","01"
"02","SUCCESS","02","02","698.64","00.1","698.74","00","698.64","2095.93","02.73","01"
"03","SUCCESS","02","02","186.72","698.74","885.47","698.64","885.37","560.17","01.41","01"
"04","SUCCESS","03","03","791.88","627.33","1419.21","627.23","1419.11","2375.64","03.67","01"
"07","SUCCESS","02","02","535.11","885.47","1420.58","885.37","1420.48","1605.34","01.24","01"
"05","SUCCESS","03","03","627.03","1419.21","2046.24","1419.11","2046.14","1881.08","04.4","01"
"09","SUCCESS","02","02","861.99","1420.58","2282.58","1420.48","2282.48","2585.98","03.59","01"
"06","SUCCESS","03","03","587.71","2046.24","2633.95","2046.14","2633.85","1763.12","02.52","01"
"08","SUCCESS","03","03","324.13","2633.95","2958.07","2633.85","2957.97","972.38","04.29","01"
"Makespan using QLearning:","2445.2005629625014"
"Total Completion Time:","15246.140000000001"
"Avg Completion Time:","1524.614"
"Total Cost:","15721.33"
"Avg Cost:","1572.133"
"Avg Waiting Time:","1000.5690000000001"
"Successful Rate:","1.0"
