"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"00","SUCCESS","03","03","351.91","00.2","352.11","00","351.91","1055.72"
"01","SUCCESS","02","02","774.51","00.2","774.71","00","774.51","2323.53"
"05","SUCCESS","03","03","592.91","352.11","945.01","351.91","944.81","1778.72"
"08","SUCCESS","03","03","565.15","945.01","1510.16","944.81","1509.96","1695.45"
"02","SUCCESS","02","02","762.39","774.71","1537.1","774.51","1536.9","2287.18"
"03","SUCCESS","02","02","213.6","1537.1","1750.7","1536.9","1750.5","640.8"
"11","SUCCESS","03","03","690.04","1510.16","2200.2","1509.96","2200.01","2070.13"
"04","SUCCESS","02","02","809.16","1750.7","2559.86","1750.5","2559.66","2427.48"
"12","SUCCESS","03","03","494.16","2200.2","2694.37","2200.01","2694.17","1482.49"
"06","SUCCESS","02","02","717.08","2559.86","3276.94","2559.66","3276.74","2151.25"
"13","SUCCESS","03","03","631.34","2694.37","3325.7","2694.17","3325.5","1894.01"
"14","SUCCESS","03","03","94.32","3325.7","3420.02","3325.5","3419.82","282.95"
"07","SUCCESS","02","02","466.94","3276.94","3743.88","3276.74","3743.68","1400.81"
"19","SUCCESS","03","03","670.63","3420.02","4090.65","3419.82","4090.45","2011.9"
"09","SUCCESS","02","02","761.43","3743.88","4505.31","3743.68","4505.11","2284.3"
"10","SUCCESS","02","02","352.28","4505.31","4857.6","4505.11","4857.4","1056.85"
"21","SUCCESS","03","03","866.29","4090.65","4956.94","4090.45","4956.74","2598.86"
"22","SUCCESS","03","03","616.17","4956.94","5573.11","4956.74","5572.91","1848.5"
"15","SUCCESS","02","02","834.37","4857.6","5691.96","4857.4","5691.76","2503.1"
"16","SUCCESS","02","02","758.75","5691.96","6450.72","5691.76","6450.52","2276.26"
"27","SUCCESS","03","03","888.72","5573.11","6461.83","5572.91","6461.63","2666.16"
"28","SUCCESS","03","03","295.23","6461.83","6757.06","6461.63","6756.86","885.7"
"29","SUCCESS","03","03","312.92","6757.06","7069.98","6756.86","7069.78","938.75"
"17","SUCCESS","02","02","816.86","6450.72","7267.58","6450.52","7267.38","2450.58"
"18","SUCCESS","02","02","92.7","7267.58","7360.28","7267.38","7360.08","278.1"
"30","SUCCESS","03","03","742.85","7069.98","7812.83","7069.78","7812.63","2228.56"
"20","SUCCESS","02","02","555.62","7360.28","7915.9","7360.08","7915.7","1666.86"
"23","SUCCESS","02","02","671.1","7915.9","8587","7915.7","8586.8","2013.3"
"31","SUCCESS","03","03","777.34","7812.83","8590.17","7812.63","8589.97","2332.01"
"24","SUCCESS","02","02","354.89","8587","8941.89","8586.8","8941.69","1064.66"
"37","SUCCESS","03","03","814.17","8590.17","9404.33","8589.97","9404.13","2442.5"
"38","SUCCESS","03","03","189.21","9404.33","9593.55","9404.13","9593.35","567.63"
"39","SUCCESS","03","03","159.31","9593.55","9752.85","9593.35","9752.65","477.92"
"25","SUCCESS","02","02","956.14","8941.89","9898.03","8941.69","9897.83","2868.43"
"26","SUCCESS","02","02","903.96","9898.03","10801.99","9897.83","10801.79","2711.89"
"32","SUCCESS","02","02","886.51","10801.99","11688.5","10801.79","11688.3","2659.52"
"33","SUCCESS","02","02","126.62","11688.5","11815.12","11688.3","11814.92","379.86"
"34","SUCCESS","02","02","822.97","11815.12","12638.09","11814.92","12637.89","2468.9"
"35","SUCCESS","02","02","756.3","12638.09","13394.38","12637.89","13394.18","2268.89"
"36","SUCCESS","02","02","628.69","13394.38","14023.07","13394.18","14022.87","1886.08"
"Makespan using QLearning:","12456.972066028127"
"Total Completion Time:","253983.49"
"Avg Completion Time:","6349.58725"
"Total Cost:","71326.59"
"Avg Cost:","1783.16475"
"Avg Waiting Time:","5755.19925"
