"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"00","SUCCESS","03","03","383.5","00.2","383.7","00","383.5","1150.49","06.35"
"02","SUCCESS","02","02","697.93","00.2","698.13","00","697.93","2093.78","03.1"
"01","SUCCESS","03","03","993.44","383.7","1377.14","383.5","1376.94","2980.32","02.25"
"06","SUCCESS","02","02","778.04","698.13","1476.16","697.93","1475.96","2334.11","01.84"
"08","SUCCESS","02","02","257.48","1476.16","1733.64","1475.96","1733.44","772.45","01.22"
"03","SUCCESS","03","03","727.82","1377.14","2104.96","1376.94","2104.76","2183.46","02.64"
"04","SUCCESS","03","03","422.76","2104.96","2527.71","2104.76","2527.51","1268.27","02.44"
"10","SUCCESS","02","02","834.9","1733.64","2568.55","1733.44","2568.35","2504.7","03.13"
"11","SUCCESS","02","02","196.03","2568.55","2764.58","2568.35","2764.38","588.09","02.96"
"05","SUCCESS","03","03","600.63","2527.71","3128.34","2527.51","3128.14","1801.89","02.2"
"15","SUCCESS","02","02","720.4","2764.58","3484.98","2764.38","3484.78","2161.21","01.42"
"07","SUCCESS","03","03","816.52","3128.34","3944.87","3128.14","3944.67","2449.57","01.61"
"16","SUCCESS","02","02","496.43","3484.98","3981.41","3484.78","3981.21","1489.29","01.11"
"09","SUCCESS","03","03","447.82","3944.87","4392.69","3944.67","4392.49","1343.47","01.85"
"18","SUCCESS","02","02","832.49","3981.41","4813.9","3981.21","4813.7","2497.46","03.09"
"12","SUCCESS","03","03","629.41","4392.69","5022.1","4392.49","5021.9","1888.24","01.35"
"20","SUCCESS","02","02","265.7","4813.9","5079.6","4813.7","5079.4","797.11","02.16"
"13","SUCCESS","03","03","444.21","5022.1","5466.32","5021.9","5466.12","1332.64","14.76"
"22","SUCCESS","02","02","599.87","5079.6","5679.47","5079.4","5679.27","1799.61","01.5"
"14","SUCCESS","03","03","478.59","5466.32","5944.91","5466.12","5944.71","1435.77","01.46"
"24","SUCCESS","02","02","790.68","5679.47","6470.15","5679.27","6469.95","2372.03","40.14"
"17","SUCCESS","03","03","637.79","5944.91","6582.7","5944.71","6582.5","1913.38","01.38"
"25","SUCCESS","02","02","814.36","6470.15","7284.51","6469.95","7284.31","2443.09","02.5"
"19","SUCCESS","03","03","733.28","6582.7","7315.98","6582.5","7315.78","2199.85","03.24"
"30","SUCCESS","02","02","281.72","7284.51","7566.23","7284.31","7566.03","845.17","00.68"
"21","SUCCESS","03","03","887.31","7315.98","8203.29","7315.78","8203.09","2661.93","02.23"
"33","SUCCESS","02","02","1017.22","7566.23","8583.45","7566.03","8583.25","3051.66","02.19"
"23","SUCCESS","03","03","575.97","8203.29","8779.26","8203.09","8779.06","1727.91","01.42"
"34","SUCCESS","02","02","521.45","8583.45","9104.9","8583.25","9104.7","1564.34","04.43"
"35","SUCCESS","02","02","226.09","9104.9","9330.99","9104.7","9330.79","678.28","01.87"
"26","SUCCESS","03","03","676.39","8779.26","9455.66","8779.06","9455.46","2029.18","01.35"
"36","SUCCESS","02","02","497.34","9330.99","9828.34","9330.79","9828.14","1492.03","01.49"
"27","SUCCESS","03","03","888.24","9455.66","10343.9","9455.46","10343.7","2664.72","01.83"
"40","SUCCESS","02","02","575.05","9828.34","10403.39","9828.14","10403.19","1725.15","01.21"
"42","SUCCESS","02","02","390.3","10403.39","10793.69","10403.19","10793.49","1170.89","00.92"
"28","SUCCESS","03","03","981.9","10343.9","11325.8","10343.7","11325.6","2945.7","03.92"
"46","SUCCESS","02","02","806.38","10793.69","11600.07","10793.49","11599.87","2419.14","03.4"
"29","SUCCESS","03","03","551.61","11325.8","11877.4","11325.6","11877.2","1654.82","01.39"
"47","SUCCESS","02","02","696.36","11600.07","12296.43","11599.87","12296.23","2089.09","03.96"
"31","SUCCESS","03","03","486.82","11877.4","12364.23","11877.2","12364.03","1460.46","01.44"
"32","SUCCESS","03","03","613.98","12364.23","12978.21","12364.03","12978.01","1841.95","01.66"
"37","SUCCESS","03","03","849.15","12978.21","13827.36","12978.01","13827.16","2547.45","02.95"
"38","SUCCESS","03","03","537.38","13827.36","14364.74","13827.16","14364.54","1612.13","01.57"
"39","SUCCESS","03","03","720.48","14364.74","15085.22","14364.54","15085.02","2161.45","01.93"
"41","SUCCESS","03","03","758.16","15085.22","15843.38","15085.02","15843.18","2274.47","07.65"
"43","SUCCESS","03","03","954.39","15843.38","16797.76","15843.18","16797.56","2863.16","03.7"
"44","SUCCESS","03","03","467.69","16797.76","17265.45","16797.56","17265.25","1403.06","04.29"
"45","SUCCESS","03","03","416.21","17265.45","17681.66","17265.25","17681.46","1248.62","00.82"
"48","SUCCESS","03","03","253.14","17681.66","17934.8","17681.46","17934.6","759.43","01.36"
"49","SUCCESS","03","03","295.59","17934.8","18230.39","17934.6","18230.19","886.76","02.11"
"Makespan using QLearning:","18424.00571953471"
"Total Completion Time:","416082.49999999994"
"Avg Completion Time:","8321.65"
"Total Cost:","91579.22999999998"
"Avg Cost:","1831.5845999999997"
"Avg Waiting Time:","7711.1215999999995"
