"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"01","SUCCESS","03","03","531.61","02.2","533.81","00","531.61","1594.84","02.35"
"00","SUCCESS","02","02","868.52","02.2","870.72","00","868.52","2605.55","03.14"
"03","SUCCESS","02","02","200.62","870.72","1071.34","868.52","1069.14","601.87","04.22"
"02","SUCCESS","03","03","779.27","533.81","1313.09","531.61","1310.89","2337.82","29.82"
"04","SUCCESS","02","02","461.48","1071.34","1532.82","1069.14","1530.62","1384.43","06.56"
"06","SUCCESS","03","03","572.05","1313.09","1885.14","1310.89","1882.94","1716.14","08.54"
"05","SUCCESS","02","02","531.58","1532.82","2064.39","1530.62","2062.19","1594.73","13.38"
"07","SUCCESS","03","03","266.39","1885.14","2151.52","1882.94","2149.32","799.16","01.61"
"09","SUCCESS","03","03","555.85","2151.52","2707.37","2149.32","2705.17","1667.54","29.67"
"08","SUCCESS","02","02","719.06","2064.39","2783.45","2062.2","2781.25","2157.18","02.05"
"13","SUCCESS","02","02","311.17","2783.45","3094.63","2781.25","3092.43","933.52","00.74"
"10","SUCCESS","03","03","756.98","2707.37","3464.35","2705.17","3462.15","2270.95","05.13"
"11","SUCCESS","03","03","580.48","3464.35","4044.83","3462.15","4042.63","1741.43","02.16"
"15","SUCCESS","02","02","1000.48","3094.63","4095.11","3092.43","4092.91","3001.44","13.99"
"12","SUCCESS","03","03","382.36","4044.83","4427.19","4042.63","4424.99","1147.08","01.02"
"16","SUCCESS","02","02","633.15","4095.11","4728.26","4092.91","4726.06","1899.46","01.29"
"14","SUCCESS","03","03","510.81","4427.19","4937.99","4424.99","4935.79","1532.42","01.9"
"17","SUCCESS","02","02","432.79","4728.26","5161.05","4726.06","5158.85","1298.38","01.4"
"18","SUCCESS","03","03","945.71","4937.99","5883.7","4935.79","5881.5","2837.13","02.02"
"19","SUCCESS","02","02","873.49","5161.05","6034.54","5158.85","6032.34","2620.46","02.14"
"20","SUCCESS","03","03","713.16","5883.7","6596.86","5881.5","6594.66","2139.49","02.68"
"22","SUCCESS","02","02","655.06","6034.54","6689.6","6032.34","6687.4","1965.19","02.66"
"21","SUCCESS","03","03","225.42","6596.86","6822.28","6594.66","6820.08","676.26","00.8"
"25","SUCCESS","02","02","513.16","6689.6","7202.76","6687.4","7200.56","1539.48","02.75"
"23","SUCCESS","03","03","715.8","6822.28","7538.08","6820.08","7535.88","2147.39","15.73"
"24","SUCCESS","03","03","633.32","7538.08","8171.4","7535.88","8169.2","1899.97","01.51"
"27","SUCCESS","02","02","992.03","7202.76","8194.79","7200.56","8192.59","2976.08","02.42"
"29","SUCCESS","02","02","488.96","8194.79","8683.75","8192.59","8681.55","1466.89","01.12"
"26","SUCCESS","03","03","566.13","8171.4","8737.53","8169.2","8735.33","1698.39","09.9"
"31","SUCCESS","02","02","106.7","8683.75","8790.45","8681.55","8788.25","320.1","00.29"
"28","SUCCESS","03","03","669.72","8737.53","9407.26","8735.33","9405.06","2009.17","04.5"
"38","SUCCESS","02","02","696.92","8790.45","9487.37","8788.25","9485.17","2090.76","11.14"
"30","SUCCESS","03","03","305.96","9407.26","9713.21","9405.06","9711.01","917.87","03"
"32","SUCCESS","03","03","461.77","9713.21","10174.98","9711.01","10172.78","1385.3","02.29"
"41","SUCCESS","02","02","735.11","9487.37","10222.48","9485.17","10220.28","2205.32","02.42"
"42","SUCCESS","02","02","321.29","10222.48","10543.77","10220.28","10541.57","963.87","01.48"
"33","SUCCESS","03","03","572.68","10174.98","10747.65","10172.78","10745.45","1718.03","01.73"
"43","SUCCESS","02","02","499.12","10543.77","11042.89","10541.57","11040.69","1497.38","02.3"
"34","SUCCESS","03","03","703.47","10747.65","11451.12","10745.45","11448.92","2110.41","02.26"
"46","SUCCESS","02","02","488.11","11042.89","11531.01","11040.69","11528.81","1464.34","02.04"
"35","SUCCESS","03","03","625.81","11451.12","12076.94","11448.92","12074.74","1877.44","01.99"
"52","SUCCESS","02","02","682.88","11531.01","12213.89","11528.81","12211.69","2048.65","01.38"
"36","SUCCESS","03","03","368.89","12076.94","12445.82","12074.74","12443.62","1106.66","01.03"
"54","SUCCESS","02","02","335.06","12213.89","12548.95","12211.69","12546.75","1005.19","01.08"
"37","SUCCESS","03","03","404.81","12445.82","12850.64","12443.62","12848.44","1214.44","00.98"
"55","SUCCESS","02","02","709.85","12548.95","13258.81","12546.75","13256.61","2129.56","04.85"
"60","SUCCESS","02","02","160.41","13258.81","13419.21","13256.61","13417.01","481.22","00.37"
"39","SUCCESS","03","03","693.14","12850.64","13543.78","12848.44","13541.58","2079.42","05.49"
"40","SUCCESS","03","03","431.87","13543.78","13975.64","13541.58","13973.44","1295.6","01.82"
"61","SUCCESS","02","02","835.57","13419.21","14254.79","13417.01","14252.59","2506.72","02.13"
"44","SUCCESS","03","03","732.25","13975.64","14707.9","13973.44","14705.7","2196.76","58.82"
"63","SUCCESS","02","02","880.1","14254.79","15134.89","14252.59","15132.68","2640.29","01.76"
"68","SUCCESS","02","02","271.83","15134.89","15406.71","15132.68","15404.51","815.48","00.79"
"45","SUCCESS","03","03","869.08","14707.9","15576.98","14705.7","15574.78","2607.24","02.9"
"47","SUCCESS","03","03","183.82","15576.98","15760.79","15574.78","15758.59","551.45","00.49"
"72","SUCCESS","02","02","941.8","15406.71","16348.51","15404.51","16346.31","2825.39","05.96"
"48","SUCCESS","03","03","599.75","15760.79","16360.55","15758.59","16358.35","1799.26","02.07"
"49","SUCCESS","03","03","460.35","16360.55","16820.9","16358.35","16818.7","1381.05","18.89"
"50","SUCCESS","03","03","294.36","16820.9","17115.26","16818.7","17113.06","883.09","00.63"
"73","SUCCESS","02","02","842.74","16348.51","17191.25","16346.31","17189.05","2528.23","02.75"
"76","SUCCESS","02","02","633.55","17191.25","17824.8","17189.05","17822.6","1900.65","40.47"
"51","SUCCESS","03","03","755.56","17115.26","17870.82","17113.06","17868.62","2266.68","07.89"
"77","SUCCESS","02","02","583.16","17824.8","18407.96","17822.6","18405.76","1749.47","03.28"
"53","SUCCESS","03","03","710.14","17870.82","18580.96","17868.62","18578.76","2130.42","01.41"
"78","SUCCESS","02","02","479.24","18407.96","18887.2","18405.76","18885","1437.73","04.1"
"79","SUCCESS","02","02","338.09","18887.2","19225.3","18885","19223.1","1014.28","01.01"
"56","SUCCESS","03","03","676.76","18580.96","19257.72","18578.76","19255.52","2030.29","02.03"
"57","SUCCESS","03","03","633.21","19257.72","19890.93","19255.52","19888.73","1899.62","01.77"
"80","SUCCESS","02","02","682.98","19225.3","19908.28","19223.1","19906.08","2048.94","28.38"
"58","SUCCESS","03","03","506.28","19890.93","20397.21","19888.73","20395.01","1518.84","03.52"
