"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"02","SUCCESS","03","03","594.93","00.1","595.03","00","594.93","1784.8","02.07"
"00","SUCCESS","02","02","683.24","00.1","683.34","00","683.24","2049.71","13.53"
"01","SUCCESS","02","02","278.27","683.34","961.61","683.24","961.51","834.8","00.69"
"05","SUCCESS","03","03","651.43","595.03","1246.47","594.93","1246.37","1954.29","02.63"
"03","SUCCESS","02","02","332.01","961.61","1293.61","961.51","1293.51","996.02","00.71"
"06","SUCCESS","03","03","484.08","1246.47","1730.55","1246.37","1730.45","1452.25","01.04"
"04","SUCCESS","02","02","623.64","1293.61","1917.25","1293.51","1917.15","1870.91","03.35"
"07","SUCCESS","03","03","365.38","1730.55","2095.93","1730.45","2095.83","1096.14","01.09"
"08","SUCCESS","02","02","582.22","1917.25","2499.47","1917.15","2499.38","1746.67","01.31"
"09","SUCCESS","03","03","740.13","2095.93","2836.06","2095.83","2835.96","2220.4","02.65"
"10","SUCCESS","02","02","585.57","2499.47","3085.05","2499.38","3084.95","1756.72","07.52"
"15","SUCCESS","03","03","895.98","2836.06","3732.04","2835.96","3731.94","2687.94","02.15"
"11","SUCCESS","02","02","784.31","3085.05","3869.36","3084.95","3869.26","2352.92","06.3"
"17","SUCCESS","03","03","322","3732.04","4054.05","3731.94","4053.95","966.01","01.29"
"12","SUCCESS","02","02","375.13","3869.36","4244.49","3869.26","4244.39","1125.4","01.1"
"13","SUCCESS","02","02","429.44","4244.49","4673.93","4244.39","4673.83","1288.32","01.82"
"18","SUCCESS","03","03","632.27","4054.05","4686.31","4053.95","4686.22","1896.81","01.37"
"20","SUCCESS","03","03","466.53","4686.31","5152.84","4686.21","5152.74","1399.59","03.12"
"14","SUCCESS","02","02","745.59","4673.93","5419.52","4673.83","5419.42","2236.77","02.17"
"22","SUCCESS","03","03","400.58","5152.84","5553.43","5152.74","5553.33","1201.74","02.04"
"16","SUCCESS","02","02","717.41","5419.52","6136.93","5419.42","6136.83","2152.23","01.78"
"25","SUCCESS","03","03","665.35","5553.43","6218.78","5553.33","6218.68","1996.06","15.62"
"19","SUCCESS","02","02","510.9","6136.93","6647.82","6136.83","6647.72","1532.69","12.13"
"26","SUCCESS","03","03","771.53","6218.78","6990.31","6218.68","6990.21","2314.58","01.58"
"21","SUCCESS","02","02","368.43","6647.82","7016.25","6647.72","7016.15","1105.29","01.27"
"23","SUCCESS","02","02","385.56","7016.25","7401.82","7016.15","7401.72","1156.69","06.77"
"24","SUCCESS","02","02","333.26","7401.82","7735.07","7401.72","7734.97","999.78","01.4"
"28","SUCCESS","03","03","754.48","6990.31","7744.78","6990.21","7744.68","2263.43","02.41"
