"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"08","SUCCESS","10","10","156.97","00.1","157.07","00","156.97","470.92"
"17","SUCCESS","45","45","355.65","00.1","355.75","00","355.65","1066.96"
"01","SUCCESS","34","34","359.33","00.1","359.43","00","359.33","1077.99"
"21","SUCCESS","41","41","365.9","00.1","366","00","365.9","1097.71"
"16","SUCCESS","47","47","395.27","00.1","395.37","00","395.27","1185.8"
"13","SUCCESS","08","08","505.3","00.1","505.4","00","505.3","1515.9"
"02","SUCCESS","12","12","530.76","00.1","530.86","00","530.76","1592.29"
"00","SUCCESS","27","27","567.88","00.1","567.98","00","567.88","1703.65"
"05","SUCCESS","05","05","569.63","00.1","569.73","00","569.63","1708.89"
"23","SUCCESS","29","29","584.23","00.1","584.33","00","584.23","1752.7"
"03","SUCCESS","20","20","585.55","00.1","585.65","00","585.55","1756.64"
"06","SUCCESS","39","39","593.6","00.1","593.7","00","593.6","1780.8"
"20","SUCCESS","04","04","660.64","00.1","660.74","00","660.64","1981.93"
"29","SUCCESS","46","46","674.53","00.1","674.63","00","674.53","2023.61"
"15","SUCCESS","13","13","701.71","00.1","701.81","00","701.71","2105.12"
"10","SUCCESS","38","38","711.41","00.1","711.51","00","711.41","2134.22"
"04","SUCCESS","24","24","728.82","00.1","728.92","00","728.82","2186.45"
"28","SUCCESS","06","06","749.43","00.1","749.53","00","749.43","2248.28"
"09","SUCCESS","10","10","615.08","157.07","772.16","156.97","772.06","1845.25"
"14","SUCCESS","16","16","773.84","00.1","773.94","00","773.84","2321.51"
"22","SUCCESS","50","50","914.96","00.1","915.06","00","914.96","2744.87"
"11","SUCCESS","12","12","406.69","530.86","937.55","530.76","937.45","1220.07"
"18","SUCCESS","02","02","946.32","00.1","946.42","00","946.32","2838.95"
"25","SUCCESS","42","42","979.31","00.1","979.41","00","979.31","2937.94"
"07","SUCCESS","05","05","478.98","569.73","1048.71","569.63","1048.61","1436.93"
"12","SUCCESS","14","14","1091.42","00.1","1091.52","00","1091.42","3274.27"
"24","SUCCESS","38","38","606.49","711.51","1317.99","711.41","1317.89","1819.45"
"27","SUCCESS","08","08","1024.06","505.4","1529.46","505.3","1529.36","3072.18"
"19","SUCCESS","16","16","782.08","773.94","1556.02","773.84","1555.92","2346.25"
"26","SUCCESS","05","05","716.69","1048.71","1765.4","1048.61","1765.3","2150.07"
"Makespan using QLearning:","1781.4066596396192"
"Total Completion Time:","23429.05"
"Avg Completion Time:","780.9683333333334"
"Total Cost:","57397.6"
"Avg Cost:","1913.2533333333333"
"Avg Waiting Time:","143.21733333333336"
