"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"31","SUCCESS","18","18","160.62","55","215.62","00","160.62","481.85"
"82","SUCCESS","34","34","168.81","55","223.82","00","168.81","506.44"
"64","SUCCESS","36","36","191.51","55","246.51","00","191.51","574.53"
"86","SUCCESS","40","40","198.5","55","253.5","00","198.5","595.49"
"01","SUCCESS","03","03","221.99","55","276.99","00","221.99","665.98"
"94","SUCCESS","45","45","236.73","55","291.73","00","236.73","710.2"
"21","SUCCESS","39","39","253.32","55","308.32","00","253.32","759.96"
"25","SUCCESS","41","41","261.15","55","316.15","00","261.15","783.46"
"75","SUCCESS","23","23","269.59","55","324.59","00","269.59","808.78"
"09","SUCCESS","17","17","271.67","55","326.67","00","271.67","815.02"
"20","SUCCESS","13","13","282.49","55","337.49","00","282.49","847.46"
"27","SUCCESS","10","10","346.39","55","401.39","00","346.39","1039.18"
"59","SUCCESS","37","37","370.42","55","425.42","00","370.42","1111.27"
"22","SUCCESS","25","25","421.18","55","476.18","00","421.18","1263.54"
"56","SUCCESS","21","21","448.57","55","503.57","00","448.57","1345.72"
"43","SUCCESS","42","42","452.88","55","507.88","00","452.88","1358.64"
"34","SUCCESS","48","48","484.89","55","539.89","00","484.89","1454.66"
"23","SUCCESS","33","33","494.53","55","549.53","00","494.53","1483.6"
"15","SUCCESS","44","44","502.29","55","557.29","00","502.29","1506.88"
"26","SUCCESS","32","32","525.83","55","580.83","00","525.83","1577.5"
"28","SUCCESS","49","49","533.78","55","588.78","00","533.78","1601.33"
"77","SUCCESS","36","36","350.8","246.51","597.31","191.51","542.31","1052.41"
"00","SUCCESS","19","19","560.47","55","615.47","00","560.47","1681.4"
"58","SUCCESS","28","28","583.75","55","638.75","00","583.75","1751.25"
"53","SUCCESS","38","38","586.14","55","641.15","00","586.14","1758.43"
"19","SUCCESS","14","14","609.46","55","664.46","00","609.46","1828.37"
"141","SUCCESS","23","23","349.93","324.59","674.52","269.59","619.52","1049.78"
"83","SUCCESS","39","39","391.42","308.32","699.74","253.32","644.74","1174.27"
"78","SUCCESS","51","51","667.27","55","722.27","00","667.27","2001.81"
"51","SUCCESS","08","08","676.66","55","731.66","00","676.66","2029.98"
"97","SUCCESS","43","43","684.55","55","739.55","00","684.55","2053.64"
"10","SUCCESS","03","03","463.16","276.99","740.15","221.99","685.15","1389.47"
"16","SUCCESS","16","16","687.08","55","742.08","00","687.08","2061.25"
"02","SUCCESS","20","20","692.82","55","747.82","00","692.82","2078.46"
"40","SUCCESS","06","06","716.03","55","771.03","00","716.03","2148.09"
"63","SUCCESS","35","35","731.03","55","786.03","00","731.03","2193.09"
"03","SUCCESS","26","26","732.84","55","787.84","00","732.84","2198.52"
"70","SUCCESS","28","28","149.39","638.75","788.14","583.75","733.14","448.18"
"14","SUCCESS","11","11","735.64","55","790.64","00","735.64","2206.91"
"05","SUCCESS","47","47","743.53","55","798.53","00","743.53","2230.58"
"06","SUCCESS","46","46","772.19","55","827.19","00","772.19","2316.58"
"30","SUCCESS","07","07","778.61","55","833.61","00","778.61","2335.82"
"39","SUCCESS","22","22","781.61","55","836.61","00","781.61","2344.84"
"60","SUCCESS","05","05","784.25","55","839.26","00","784.25","2352.76"
"150","SUCCESS","40","40","604.64","253.5","858.13","198.5","803.13","1813.91"
"226","SUCCESS","17","17","533.11","326.67","859.78","271.67","804.78","1599.33"
"12","SUCCESS","29","29","835.04","55","890.04","00","835.04","2505.11"
"89","SUCCESS","24","24","853.59","55","908.59","00","853.59","2560.78"
"08","SUCCESS","15","15","857.03","55","912.03","00","857.03","2571.08"
"52","SUCCESS","09","09","870.31","55","925.31","00","870.31","2610.94"
"36","SUCCESS","02","02","887.7","55","942.7","00","887.7","2663.1"
"79","SUCCESS","31","31","892.77","55","947.78","00","892.77","2678.32"
"111","SUCCESS","18","18","751.71","215.62","967.33","160.62","912.33","2255.13"
"66","SUCCESS","04","04","913.17","55","968.17","00","913.17","2739.51"
"67","SUCCESS","33","33","424.1","549.53","973.63","494.53","918.63","1272.3"
"110","SUCCESS","12","12","936.66","55","991.66","00","936.66","2809.99"
"07","SUCCESS","50","50","936.99","55","991.99","00","936.99","2810.96"
"71","SUCCESS","13","13","660.12","337.49","997.6","282.49","942.6","1980.35"
