"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"01","SUCCESS","06","06","441.2","05.5","446.7","00","441.2","1323.59","39.13"
"06","SUCCESS","05","05","461.69","05.5","467.19","00","461.69","1385.09","01.11"
"09","SUCCESS","04","04","541.4","05.5","546.9","00","541.4","1624.19","03.29"
"02","SUCCESS","03","03","603.91","05.5","609.41","00","603.91","1811.74","01.81"
"00","SUCCESS","02","02","727.02","05.5","732.52","00","727.02","2181.05","02.52"
"15","SUCCESS","05","05","464.59","467.19","931.79","461.69","926.29","1393.77","02.4"
"18","SUCCESS","04","04","397.54","546.9","944.44","541.4","938.94","1192.62","01.65"
"07","SUCCESS","02","02","348.56","732.52","1081.07","727.02","1075.57","1045.67","01.1"
"03","SUCCESS","06","06","888.55","446.7","1335.24","441.2","1329.74","2665.64","15.26"
"14","SUCCESS","06","06","113.62","1335.24","1448.86","1329.74","1443.36","340.85","01.01"
"11","SUCCESS","02","02","504.16","1081.07","1585.24","1075.57","1579.74","1512.49","01.24"
"04","SUCCESS","03","03","992.04","609.41","1601.45","603.91","1595.95","2976.12","53.45"
"26","SUCCESS","04","04","786.27","944.44","1730.71","938.94","1725.21","2358.82","74.9"
"25","SUCCESS","05","05","866.43","931.79","1798.21","926.29","1792.71","2599.28","02.28"
"16","SUCCESS","06","06","365.53","1448.86","1814.39","1443.36","1808.89","1096.59","03.14"
"05","SUCCESS","03","03","303.76","1601.45","1905.21","1595.95","1899.71","911.27","02.08"
"22","SUCCESS","02","02","428.19","1585.24","2013.42","1579.74","2007.92","1284.56","03.52"
"08","SUCCESS","03","03","302.41","1905.21","2207.62","1899.71","2202.12","907.22","04.01"
"17","SUCCESS","06","06","501.48","1814.39","2315.87","1808.89","2310.37","1504.43","01.02"
"29","SUCCESS","05","05","612.23","1798.21","2410.44","1792.71","2404.94","1836.69","22.48"
"31","SUCCESS","04","04","745.99","1730.71","2476.7","1725.21","2471.2","2237.97","48.12"
"24","SUCCESS","02","02","560.07","2013.42","2573.49","2007.92","2567.99","1680.21","05.88"
"47","SUCCESS","04","04","212.1","2476.7","2688.8","2471.2","2683.3","636.29","00.53"
"39","SUCCESS","02","02","374.58","2573.49","2948.07","2567.99","2942.57","1123.75","01.57"
"19","SUCCESS","06","06","666.88","2315.87","2982.74","2310.37","2977.24","2000.63","04.5"
"52","SUCCESS","04","04","368.6","2688.8","3057.4","2683.3","3051.9","1105.81","01.2"
"20","SUCCESS","06","06","157.11","2982.74","3139.86","2977.24","3134.36","471.34","01.88"
"10","SUCCESS","03","03","1034.57","2207.62","3242.19","2202.12","3236.69","3103.7","04.86"
"30","SUCCESS","05","05","852.6","2410.44","3263.05","2404.94","3257.55","2557.8","07.53"
"12","SUCCESS","03","03","330.59","3242.19","3572.78","3236.69","3567.28","991.78","01.45"
"54","SUCCESS","04","04","526.34","3057.4","3583.74","3051.9","3578.24","1579.03","02.3"
"40","SUCCESS","02","02","643.31","2948.07","3591.38","2942.57","3585.88","1929.92","02.27"
