"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"00","SUCCESS","04","04","552.12","00.8","552.92","00","552.12","1656.35","03.59"
"01","SUCCESS","02","02","595.52","00.8","596.32","00","595.52","1786.55","01.38"
"02","SUCCESS","04","04","190.4","552.92","743.32","552.12","742.52","571.2","00.54"
"03","SUCCESS","03","03","684.17","00.8","684.97","00","684.17","2052.52","01.53"
"04","SUCCESS","09","09","224.59","00.8","225.39","00","224.59","673.78","00.55"
"05","SUCCESS","04","04","992.41","743.32","1735.72","742.52","1734.92","2977.22","02.16"
"06","SUCCESS","07","07","306.9","00.8","307.7","00","306.9","920.69","02.84"
"07","SUCCESS","09","09","770.69","225.39","996.09","224.59","995.28","2312.08","01.92"
"08","SUCCESS","04","04","745.12","1735.72","2480.84","1734.92","2480.04","2235.35","01.97"
"09","SUCCESS","09","09","431.61","996.09","1427.7","995.29","1426.9","1294.84","01.06"
"Makespan using QLearning:","2599.363385314615"
"Total Completion Time:","9742.96"
"Avg Completion Time:","974.2959999999999"
"Total Cost:","16480.579999999998"
"Avg Cost:","1648.0579999999998"
"Avg Waiting Time:","424.94399999999996"
