"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"14","SUCCESS","08","08","349.71","00.8","350.51","00","349.71","1049.14"
"02","SUCCESS","09","09","416.05","00.8","416.85","00","416.05","1248.14"
"06","SUCCESS","03","03","426.65","00.8","427.45","00","426.65","1279.96"
"01","SUCCESS","07","07","485.25","00.8","486.05","00","485.25","1455.74"
"05","SUCCESS","06","06","579.25","00.8","580.05","00","579.25","1737.76"
"15","SUCCESS","03","03","351.04","427.45","778.49","426.65","777.69","1053.12"
"18","SUCCESS","08","08","467.37","350.51","817.89","349.71","817.09","1402.12"
"11","SUCCESS","02","02","829.3","00.8","830.1","00","829.3","2487.89"
"04","SUCCESS","04","04","906.79","00.8","907.59","00","906.79","2720.36"
"12","SUCCESS","06","06","359.06","580.05","939.11","579.25","938.31","1077.18"
"00","SUCCESS","05","05","978.67","00.8","979.47","00","978.67","2936"
"19","SUCCESS","02","02","175","830.1","1005.1","829.3","1004.3","525.01"
"07","SUCCESS","07","07","592.6","486.05","1078.65","485.25","1077.85","1777.81"
"16","SUCCESS","06","06","336.3","939.11","1275.41","938.31","1274.61","1008.89"
"03","SUCCESS","09","09","877.49","416.85","1294.34","416.05","1293.54","2632.47"
"31","SUCCESS","05","05","410.52","979.47","1389.99","978.67","1389.19","1231.56"
"10","SUCCESS","04","04","676.1","907.59","1583.69","906.79","1582.89","2028.31"
"35","SUCCESS","08","08","777.3","817.89","1595.19","817.09","1594.39","2331.91"
"09","SUCCESS","09","09","370.97","1294.34","1665.31","1293.54","1664.51","1112.92"
"20","SUCCESS","03","03","956.75","778.49","1735.24","777.69","1734.44","2870.25"
"08","SUCCESS","07","07","765.67","1078.65","1844.32","1077.85","1843.52","2297"
"13","SUCCESS","09","09","252","1665.31","1917.31","1664.51","1916.51","755.99"
"49","SUCCESS","08","08","324.9","1595.19","1920.09","1594.39","1919.29","974.69"
"21","SUCCESS","02","02","976.21","1005.1","1981.3","1004.3","1980.5","2928.62"
"28","SUCCESS","06","06","797.06","1275.41","2072.47","1274.61","2071.67","2391.18"
"33","SUCCESS","05","05","687.01","1389.99","2077","1389.19","2076.2","2061.03"
"36","SUCCESS","03","03","549.74","1735.24","2284.98","1734.44","2284.18","1649.22"
"23","SUCCESS","04","04","817","1583.69","2400.69","1582.89","2399.89","2451"
"22","SUCCESS","02","02","440.07","1981.3","2421.38","1980.5","2420.58","1320.22"
"76","SUCCESS","08","08","536.41","1920.09","2456.49","1919.29","2455.69","1609.22"
"38","SUCCESS","06","06","403.57","2072.47","2476.03","2071.67","2475.23","1210.7"
"29","SUCCESS","07","07","764.41","1844.32","2608.73","1843.52","2607.93","2293.22"
"34","SUCCESS","05","05","574.1","2077","2651.09","2076.2","2650.29","1722.29"
"77","SUCCESS","08","08","379.17","2456.49","2835.67","2455.69","2834.87","1137.52"
"42","SUCCESS","03","03","562.83","2284.98","2847.81","2284.18","2847.01","1688.5"
"17","SUCCESS","09","09","958.34","1917.31","2875.64","1916.51","2874.84","2875.01"
"81","SUCCESS","08","08","172.14","2835.67","3007.81","2834.87","3007.01","516.43"
"25","SUCCESS","02","02","616","2421.38","3037.38","2420.58","3036.58","1848.01"
"26","SUCCESS","09","09","269.43","2875.64","3145.07","2874.84","3144.27","808.28"
"37","SUCCESS","05","05","641.58","2651.09","3292.67","2650.29","3291.87","1924.74"
"43","SUCCESS","03","03","446.47","2847.81","3294.28","2847.01","3293.48","1339.4"
"39","SUCCESS","07","07","710.95","2608.73","3319.68","2607.93","3318.88","2132.85"
"24","SUCCESS","04","04","950.15","2400.69","3350.84","2399.89","3350.04","2850.44"
"48","SUCCESS","06","06","880.75","2476.03","3356.78","2475.23","3355.98","2642.24"
"32","SUCCESS","09","09","350.96","3145.07","3496.03","3144.27","3495.23","1052.88"
"46","SUCCESS","02","02","646.02","3037.38","3683.4","3036.58","3682.6","1938.05"
"58","SUCCESS","03","03","526.19","3294.28","3820.47","3293.48","3819.67","1578.58"
"55","SUCCESS","06","06","511.01","3356.78","3867.79","3355.98","3866.99","1533.03"
"83","SUCCESS","08","08","874.51","3007.81","3882.31","3007.01","3881.51","2623.52"
"27","SUCCESS","04","04","682.16","3350.84","4033","3350.04","4032.2","2046.47"
"44","SUCCESS","07","07","793.08","3319.68","4112.76","3318.88","4111.96","2379.24"
"47","SUCCESS","05","05","922.73","3292.67","4215.4","3291.87","4214.6","2768.19"
"63","SUCCESS","06","06","407.83","3867.79","4275.63","3866.99","4274.83","1223.5"
"50","SUCCESS","02","02","594.49","3683.4","4277.89","3682.6","4277.09","1783.48"
"45","SUCCESS","07","07","173.99","4112.76","4286.75","4111.96","4285.95","521.96"
"54","SUCCESS","09","09","951.83","3496.03","4447.86","3495.23","4447.06","2855.5"
"95","SUCCESS","08","08","576.06","3882.31","4458.38","3881.51","4457.58","1728.19"
"51","SUCCESS","05","05","289.94","4215.4","4505.34","4214.6","4504.54","869.81"
"56","SUCCESS","02","02","238.06","4277.89","4515.95","4277.09","4515.15","714.18"
"30","SUCCESS","04","04","588.58","4033","4621.58","4032.2","4620.78","1765.75"
"66","SUCCESS","03","03","871.13","3820.47","4691.6","3819.67","4690.8","2613.38"
"60","SUCCESS","07","07","460.18","4286.75","4746.93","4285.95","4746.12","1380.54"
"62","SUCCESS","09","09","436.62","4447.86","4884.49","4447.06","4883.69","1309.87"
"102","SUCCESS","08","08","462.14","4458.38","4920.52","4457.58","4919.72","1386.42"
"59","SUCCESS","02","02","463.35","4515.95","4979.3","4515.15","4978.5","1390.04"
"53","SUCCESS","05","05","596.25","4505.34","5101.59","4504.54","5100.79","1788.75"
"70","SUCCESS","03","03","497.75","4691.6","5189.35","4690.8","5188.55","1493.26"
"40","SUCCESS","04","04","598.3","4621.58","5219.88","4620.78","5219.08","1794.91"
"67","SUCCESS","06","06","969.84","4275.63","5245.46","4274.83","5244.66","2909.51"
"57","SUCCESS","05","05","186.88","5101.59","5288.47","5100.79","5287.67","560.63"
"113","SUCCESS","08","08","383.76","4920.52","5304.28","4919.72","5303.48","1151.28"
"61","SUCCESS","02","02","364.04","4979.3","5343.34","4978.5","5342.54","1092.11"
"65","SUCCESS","07","07","651.19","4746.93","5398.11","4746.12","5397.31","1953.57"
"73","SUCCESS","09","09","563.5","4884.49","5447.99","4883.69","5447.19","1690.51"
"71","SUCCESS","02","02","189.82","5343.34","5533.16","5342.54","5532.36","569.47"
"78","SUCCESS","06","06","465.24","5245.46","5710.71","5244.66","5709.91","1395.73"
"41","SUCCESS","04","04","528.89","5219.88","5748.77","5219.08","5747.97","1586.66"
"75","SUCCESS","03","03","678.78","5189.35","5868.13","5188.55","5867.33","2036.35"
"84","SUCCESS","02","02","398.82","5533.16","5931.98","5532.36","5931.18","1196.45"
"69","SUCCESS","05","05","654.1","5288.47","5942.57","5287.67","5941.77","1962.3"
"74","SUCCESS","09","09","558.44","5447.99","6006.43","5447.19","6005.63","1675.33"
"68","SUCCESS","07","07","759.42","5398.11","6157.53","5397.31","6156.73","2278.25"
"114","SUCCESS","08","08","926.34","5304.28","6230.62","5303.48","6229.82","2779.01"
"90","SUCCESS","03","03","617.08","5868.13","6485.22","5867.33","6484.42","1851.24"
"52","SUCCESS","04","04","753.71","5748.77","6502.47","5747.97","6501.67","2261.12"
"88","SUCCESS","02","02","590.43","5931.98","6522.41","5931.18","6521.61","1771.29"
"87","SUCCESS","06","06","832.63","5710.71","6543.33","5709.91","6542.53","2497.88"
"99","SUCCESS","07","07","399.57","6157.53","6557.1","6156.73","6556.3","1198.7"
"85","SUCCESS","09","09","591.28","6006.43","6597.71","6005.63","6596.91","1773.85"
"82","SUCCESS","05","05","668.18","5942.57","6610.74","5941.77","6609.94","2004.53"
"96","SUCCESS","06","06","282.82","6543.33","6826.15","6542.53","6825.35","848.46"
"92","SUCCESS","02","02","324.26","6522.41","6846.66","6521.61","6845.86","972.77"
"93","SUCCESS","03","03","402.53","6485.22","6887.74","6484.42","6886.94","1207.58"
"64","SUCCESS","04","04","519.61","6502.47","7022.09","6501.67","7021.28","1558.83"
"91","SUCCESS","05","05","503.87","6610.74","7114.62","6609.94","7113.82","1511.62"
"117","SUCCESS","08","08","909.85","6230.62","7140.47","6229.82","7139.67","2729.54"
"86","SUCCESS","09","09","585.02","6597.71","7182.74","6596.91","7181.94","1755.07"
"100","SUCCESS","06","06","404.51","6826.15","7230.66","6825.35","7229.86","1213.52"
"108","SUCCESS","03","03","450.39","6887.74","7338.14","6886.94","7337.34","1351.18"
"118","SUCCESS","02","02","507.98","6846.66","7354.65","6845.86","7353.85","1523.95"
"105","SUCCESS","07","07","851.98","6557.1","7409.08","6556.3","7408.28","2555.95"
"72","SUCCESS","04","04","547.23","7022.09","7569.31","7021.28","7568.51","1641.68"
"97","SUCCESS","05","05","462.34","7114.62","7576.96","7113.82","7576.16","1387.02"
"94","SUCCESS","09","09","498.69","7182.74","7681.43","7181.94","7680.63","1496.07"
"104","SUCCESS","05","05","153.56","7576.96","7730.52","7576.16","7729.72","460.69"
"106","SUCCESS","06","06","506.19","7230.66","7736.85","7229.86","7736.05","1518.56"
"127","SUCCESS","07","07","355.71","7409.08","7764.79","7408.28","7763.99","1067.13"
"125","SUCCESS","02","02","453.6","7354.65","7808.25","7353.85","7807.45","1360.79"
"119","SUCCESS","08","08","701.41","7140.47","7841.88","7139.67","7841.08","2104.24"
"112","SUCCESS","06","06","229.15","7736.85","7966","7736.05","7965.2","687.46"
"79","SUCCESS","04","04","434.76","7569.31","8004.07","7568.51","8003.27","1304.27"
"109","SUCCESS","03","03","698.01","7338.14","8036.14","7337.34","8035.34","2094.02"
"120","SUCCESS","08","08","224.95","7841.88","8066.83","7841.08","8066.03","674.86"
"107","SUCCESS","05","05","397.16","7730.52","8127.68","7729.72","8126.88","1191.49"
"141","SUCCESS","07","07","669.74","7764.79","8434.53","7763.99","8433.73","2009.22"
"128","SUCCESS","02","02","764.94","7808.25","8573.19","7807.45","8572.39","2294.83"
"80","SUCCESS","04","04","572.42","8004.07","8576.49","8003.27","8575.69","1717.27"
"98","SUCCESS","09","09","948.9","7681.43","8630.33","7680.63","8629.53","2846.7"
"110","SUCCESS","05","05","516.41","8127.68","8644.1","8126.88","8643.3","1549.24"
"115","SUCCESS","06","06","678.9","7966","8644.9","7965.2","8644.1","2036.7"
"121","SUCCESS","08","08","604.81","8066.83","8671.64","8066.03","8670.84","1814.43"
"131","SUCCESS","03","03","648.95","8036.14","8685.09","8035.34","8684.29","1946.84"
"89","SUCCESS","04","04","521.08","8576.49","9097.57","8575.69","9096.77","1563.23"
"101","SUCCESS","09","09","489.23","8630.33","9119.56","8629.53","9118.76","1467.68"
"135","SUCCESS","03","03","484.16","8685.09","9169.25","8684.29","9168.45","1452.48"
"142","SUCCESS","02","02","668.66","8573.19","9241.85","8572.39","9241.05","2005.97"
"144","SUCCESS","07","07","863.61","8434.53","9298.14","8433.73","9297.34","2590.84"
"124","SUCCESS","09","09","268.64","9119.56","9388.19","9118.76","9387.39","805.91"
"122","SUCCESS","06","06","774.6","8644.9","9419.5","8644.1","9418.7","2323.81"
"111","SUCCESS","05","05","799.99","8644.1","9444.08","8643.3","9443.28","2399.96"
"103","SUCCESS","04","04","430.65","9097.57","9528.22","9096.77","9527.42","1291.96"
"126","SUCCESS","08","08","896.58","8671.64","9568.22","8670.84","9567.42","2689.73"
"139","SUCCESS","06","06","237.81","9419.5","9657.31","9418.7","9656.51","713.42"
"116","SUCCESS","04","04","225.08","9528.22","9753.3","9527.42","9752.5","675.24"
"137","SUCCESS","03","03","671.86","9169.25","9841.11","9168.45","9840.31","2015.57"
"158","SUCCESS","07","07","555.02","9298.14","9853.17","9297.34","9852.37","1665.07"
"129","SUCCESS","09","09","614.52","9388.19","10002.72","9387.39","10001.92","1843.57"
"153","SUCCESS","02","02","770.1","9241.85","10011.95","9241.05","10011.15","2310.3"
"133","SUCCESS","04","04","474.42","9753.3","10227.72","9752.5","10226.92","1423.27"
"140","SUCCESS","03","03","530.89","9841.11","10372","9840.31","10371.2","1592.67"
"143","SUCCESS","06","06","741.12","9657.31","10398.43","9656.51","10397.63","2223.35"
"130","SUCCESS","09","09","447.37","10002.72","10450.09","10001.92","10449.29","1342.11"
"123","SUCCESS","05","05","1045.72","9444.08","10489.8","9443.28","10489","3137.15"
"161","SUCCESS","02","02","500.24","10011.95","10512.19","10011.15","10511.39","1500.73"
"165","SUCCESS","07","07","662.95","9853.17","10516.12","9852.37","10515.32","1988.85"
"134","SUCCESS","09","09","68.79","10450.09","10518.88","10449.29","10518.08","206.37"
"132","SUCCESS","08","08","968.63","9568.22","10536.85","9567.42","10536.05","2905.89"
"150","SUCCESS","03","03","475.16","10372","10847.15","10371.2","10846.35","1425.47"
"156","SUCCESS","06","06","465.54","10398.43","10863.97","10397.63","10863.17","1396.62"
"147","SUCCESS","05","05","423.17","10489.8","10912.97","10489","10912.17","1269.51"
"177","SUCCESS","07","07","509.37","10516.12","11025.49","10515.32","11024.69","1528.1"
"149","SUCCESS","04","04","819.58","10227.72","11047.3","10226.92","11046.5","2458.73"
"162","SUCCESS","02","02","610.19","10512.19","11122.38","10511.39","11121.58","1830.56"
"136","SUCCESS","09","09","708.13","10518.88","11227.01","10518.08","11226.21","2124.39"
"146","SUCCESS","08","08","755.81","10536.85","11292.66","10536.05","11291.86","2267.43"
"169","SUCCESS","04","04","413.64","11047.3","11460.94","11046.5","11460.14","1240.93"
"152","SUCCESS","03","03","618.02","10847.15","11465.17","10846.35","11464.37","1854.05"
"151","SUCCESS","05","05","605.43","10912.97","11518.4","10912.17","11517.6","1816.28"
"159","SUCCESS","06","06","738.88","10863.97","11602.85","10863.17","11602.05","2216.63"
"154","SUCCESS","05","05","308.25","11518.4","11826.64","11517.6","11825.84","924.74"
"189","SUCCESS","07","07","897.48","11025.49","11922.96","11024.69","11922.16","2692.43"
"172","SUCCESS","02","02","836.64","11122.38","11959.01","11121.58","11958.21","2509.91"
"157","SUCCESS","08","08","776.22","11292.66","12068.88","11291.86","12068.08","2328.67"
"191","SUCCESS","04","04","687.37","11460.94","12148.31","11460.14","12147.51","2062.1"
"166","SUCCESS","06","06","558.51","11602.85","12161.35","11602.05","12160.55","1675.52"
"163","SUCCESS","03","03","753.19","11465.17","12218.36","11464.37","12217.56","2259.57"
"164","SUCCESS","05","05","493.4","11826.64","12320.04","11825.84","12319.24","1480.21"
"138","SUCCESS","09","09","1108.01","11227.01","12335.02","11226.21","12334.22","3324.04"
"160","SUCCESS","08","08","332.65","12068.88","12401.53","12068.08","12400.73","997.95"
"180","SUCCESS","02","02","689.35","11959.01","12648.36","11958.21","12647.56","2068.04"
"190","SUCCESS","07","07","791.18","11922.96","12714.14","11922.16","12713.34","2373.53"
"195","SUCCESS","04","04","689.12","12148.31","12837.43","12147.51","12836.63","2067.36"
"170","SUCCESS","05","05","557.76","12320.04","12877.81","12319.24","12877.01","1673.28"
"167","SUCCESS","06","06","728.23","12161.35","12889.58","12160.55","12888.78","2184.69"
"168","SUCCESS","03","03","679.87","12218.36","12898.23","12217.56","12897.43","2039.61"
"145","SUCCESS","09","09","572.12","12335.02","12907.14","12334.22","12906.34","1716.37"
"171","SUCCESS","08","08","527.74","12401.53","12929.27","12400.73","12928.47","1583.22"
"192","SUCCESS","07","07","238.17","12714.14","12952.31","12713.34","12951.51","714.52"
"186","SUCCESS","02","02","785.71","12648.36","13434.07","12647.56","13433.27","2357.12"
"176","SUCCESS","08","08","574.29","12929.27","13503.56","12928.47","13502.76","1722.87"
"174","SUCCESS","05","05","787.25","12877.81","13665.06","12877.01","13664.26","2361.75"
"178","SUCCESS","03","03","835.78","12898.23","13734.01","12897.43","13733.21","2507.34"
"148","SUCCESS","09","09","834.87","12907.14","13742.01","12906.34","13741.21","2504.61"
"173","SUCCESS","06","06","901.95","12889.58","13791.53","12888.78","13790.73","2705.84"
"175","SUCCESS","06","06","313.96","13791.53","14105.49","13790.73","14104.69","941.89"
"179","SUCCESS","08","08","603.77","13503.56","14107.33","13502.76","14106.53","1811.3"
"182","SUCCESS","05","05","579.29","13665.06","14244.35","13664.26","14243.55","1737.87"
"188","SUCCESS","05","05","69.35","14244.35","14313.7","14243.55","14312.9","208.06"
"155","SUCCESS","09","09","610.84","13742.01","14352.85","13741.21","14352.05","1832.52"
"184","SUCCESS","03","03","664.99","13734.01","14399","13733.21","14398.2","1994.97"
"196","SUCCESS","08","08","407.43","14107.33","14514.76","14106.53","14513.96","1222.3"
"183","SUCCESS","09","09","581.7","14352.85","14934.55","14352.05","14933.75","1745.11"
"181","SUCCESS","06","06","1035.19","14105.49","15140.69","14104.69","15139.89","3105.58"
"187","SUCCESS","03","03","807.41","14399","15206.41","14398.2","15205.61","2422.22"
"197","SUCCESS","09","09","717.65","14934.55","15652.21","14933.75","15651.41","2152.96"
"185","SUCCESS","06","06","604.98","15140.69","15745.66","15139.89","15744.86","1814.93"
"194","SUCCESS","03","03","911.48","15206.41","16117.89","15205.61","16117.09","2734.44"
"198","SUCCESS","09","09","857.26","15652.21","16509.46","15651.41","16508.66","2571.77"
"193","SUCCESS","06","06","765.58","15745.66","16511.24","15744.86","16510.44","2296.74"
"199","SUCCESS","09","09","785.78","16509.46","17295.24","16508.66","17294.44","2357.33"
"Makespan using QLearning:","17226.949689663918"
"Total Completion Time:","1512626.63"
"Avg Completion Time:","7563.13315"
"Total Cost:","353910.69999999995"
"Avg Cost:","1769.5534999999998"
"Avg Waiting Time:","6973.2819500000005"
