"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"00","SUCCESS","05","05","525.82","00.8","526.62","00","525.82","1577.46"
"01","SUCCESS","07","07","781.82","00.8","782.62","00","781.82","2345.46"
"02","SUCCESS","05","05","617.14","526.62","1143.76","525.82","1142.96","1851.43"
"03","SUCCESS","07","07","737.64","782.62","1520.26","781.82","1519.46","2212.91"
"04","SUCCESS","08","08","336.14","00.8","336.94","00","336.14","1008.43"
"05","SUCCESS","07","07","467.78","1520.26","1988.04","1519.46","1987.24","1403.34"
"06","SUCCESS","05","05","641.72","1143.76","1785.48","1142.96","1784.68","1925.15"
"07","SUCCESS","08","08","164.61","336.94","501.55","336.14","500.75","493.82"
"08","SUCCESS","03","03","319.7","00.8","320.5","00","319.7","959.09"
"09","SUCCESS","05","05","264.1","1785.48","2049.59","1784.68","2048.78","792.31"
"10","SUCCESS","05","05","459.72","2049.59","2509.31","2048.78","2508.51","1379.16"
"11","SUCCESS","06","06","377.95","00.8","378.75","00","377.95","1133.85"
"12","SUCCESS","05","05","674.64","2509.31","3183.95","2508.51","3183.15","2023.93"
"13","SUCCESS","08","08","599.11","501.55","1100.66","500.75","1099.86","1797.33"
"14","SUCCESS","04","04","697.89","00.8","698.69","00","697.89","2093.67"
"15","SUCCESS","02","02","740.76","00.8","741.56","00","740.76","2222.3"
"16","SUCCESS","04","04","1040.22","698.69","1738.91","697.89","1738.11","3120.66"
"17","SUCCESS","09","09","578.35","00.8","579.14","00","578.35","1735.04"
"18","SUCCESS","02","02","492.56","741.56","1234.13","740.76","1233.33","1477.68"
"19","SUCCESS","08","08","602.74","1100.66","1703.4","1099.86","1702.6","1808.21"
"20","SUCCESS","08","08","716.83","1703.4","2420.23","1702.6","2419.43","2150.49"
"21","SUCCESS","02","02","396.31","1234.13","1630.44","1233.33","1629.64","1188.94"
"22","SUCCESS","07","07","156.14","1988.04","2144.17","1987.24","2143.37","468.41"
"23","SUCCESS","02","02","560.13","1630.44","2190.57","1629.64","2189.77","1680.4"
"24","SUCCESS","09","09","342.38","579.14","921.53","578.35","920.73","1027.15"
"25","SUCCESS","04","04","457.57","1738.91","2196.48","1738.11","2195.68","1372.7"
"26","SUCCESS","06","06","518.88","378.75","897.62","377.95","896.83","1556.63"
"27","SUCCESS","07","07","344.78","2144.17","2488.96","2143.37","2488.16","1034.35"
"28","SUCCESS","07","07","847.07","2488.96","3336.03","2488.16","3335.23","2541.21"
"29","SUCCESS","09","09","531.12","921.53","1452.65","920.73","1451.85","1593.37"
"30","SUCCESS","02","02","716.52","2190.57","2907.09","2189.77","2906.29","2149.56"
"31","SUCCESS","04","04","1017.15","2196.48","3213.63","2195.68","3212.83","3051.46"
"32","SUCCESS","03","03","673.34","320.5","993.83","319.7","993.03","2020.01"
"33","SUCCESS","03","03","521.58","993.83","1515.42","993.03","1514.62","1564.75"
"34","SUCCESS","09","09","630.75","1452.65","2083.41","1451.85","2082.61","1892.26"
"35","SUCCESS","06","06","288.55","897.62","1186.17","896.83","1185.37","865.64"
"36","SUCCESS","02","02","584.15","2907.09","3491.24","2906.29","3490.44","1752.45"
"37","SUCCESS","07","07","268.92","3336.03","3604.94","3335.23","3604.14","806.75"
"38","SUCCESS","08","08","790.09","2420.23","3210.31","2419.43","3209.51","2370.26"
"39","SUCCESS","05","05","532.95","3183.95","3716.9","3183.15","3716.1","1598.84"
"40","SUCCESS","06","06","412.79","1186.17","1598.96","1185.37","1598.16","1238.36"
"41","SUCCESS","07","07","621.16","3604.94","4226.11","3604.14","4225.31","1863.49"
