"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"22","SUCCESS","07","07","156.14","08.8","164.94","00","156.14","468.41"
"27","SUCCESS","07","07","344.78","164.94","509.72","156.14","500.92","1034.35"
"03","SUCCESS","06","06","503.43","08.8","512.23","00","503.43","1510.28"
"00","SUCCESS","04","04","540.52","08.8","549.32","00","540.52","1621.55"
"05","SUCCESS","03","03","614.9","08.8","623.7","00","614.9","1844.69"
"04","SUCCESS","02","02","624.01","08.8","632.81","00","624.01","1872.04"
"16","SUCCESS","09","09","641.77","08.8","650.57","00","641.77","1925.32"
"12","SUCCESS","04","04","365.74","549.32","915.06","540.52","906.26","1097.22"
"02","SUCCESS","08","08","928.27","08.8","937.07","00","928.27","2784.82"
"01","SUCCESS","05","05","928.87","08.8","937.67","00","928.87","2786.61"
"35","SUCCESS","07","07","676.19","509.72","1185.91","500.92","1177.11","2028.57"
"06","SUCCESS","02","02","644.44","632.81","1277.25","624.01","1268.45","1933.31"
"07","SUCCESS","03","03","703.03","623.7","1326.72","614.9","1317.92","2109.08"
"15","SUCCESS","06","06","826.06","512.23","1338.29","503.43","1329.49","2478.19"
"13","SUCCESS","04","04","592.49","915.06","1507.55","906.26","1498.75","1777.48"
"08","SUCCESS","05","05","572.51","937.67","1510.18","928.87","1501.38","1717.54"
"21","SUCCESS","08","08","586.51","937.07","1523.58","928.27","1514.78","1759.52"
"26","SUCCESS","09","09","1019","650.57","1669.57","641.77","1660.77","3057"
"42","SUCCESS","07","07","528.43","1185.91","1714.34","1177.11","1705.54","1585.29"
"28","SUCCESS","06","06","441.9","1338.29","1780.19","1329.49","1771.39","1325.69"
"09","SUCCESS","02","02","624.64","1277.25","1901.89","1268.45","1893.09","1873.92"
"10","SUCCESS","05","05","459.72","1510.18","1969.9","1501.38","1961.1","1379.16"
"47","SUCCESS","06","06","259.11","1780.19","2039.3","1771.39","2030.5","777.34"
"17","SUCCESS","04","04","619.59","1507.55","2127.14","1498.75","2118.35","1858.78"
"11","SUCCESS","03","03","816.85","1326.72","2143.57","1317.92","2134.77","2450.55"
"51","SUCCESS","06","06","125.14","2039.3","2164.44","2030.5","2155.64","375.42"
"40","SUCCESS","09","09","663.41","1669.57","2332.98","1660.77","2324.18","1990.23"
"23","SUCCESS","08","08","810.37","1523.58","2333.95","1514.78","2325.15","2431.1"
"45","SUCCESS","07","07","634.01","1714.34","2348.35","1705.54","2339.55","1902.03"
"19","SUCCESS","04","04","331.23","2127.14","2458.38","2118.34","2449.57","993.69"
"25","SUCCESS","03","03","412","2143.57","2555.57","2134.77","2546.77","1235.99"
"14","SUCCESS","02","02","685.15","1901.89","2587.04","1893.09","2578.24","2055.45"
"18","SUCCESS","05","05","620.92","1969.9","2590.83","1961.1","2582.03","1862.77"
"30","SUCCESS","04","04","475.16","2458.38","2933.54","2449.57","2924.74","1425.49"
"29","SUCCESS","03","03","413.76","2555.57","2969.33","2546.77","2960.53","1241.28"
"59","SUCCESS","07","07","645.95","2348.35","2994.3","2339.55","2985.5","1937.86"
"65","SUCCESS","06","06","866.47","2164.44","3030.91","2155.64","3022.11","2599.42"
"48","SUCCESS","09","09","701.14","2332.98","3034.12","2324.18","3025.32","2103.42"
"32","SUCCESS","08","08","767.65","2333.95","3101.6","2325.15","3092.8","2302.96"
"31","SUCCESS","02","02","638.64","2587.04","3225.68","2578.24","3216.88","1915.91"
"20","SUCCESS","05","05","749.44","2590.83","3340.27","2582.03","3331.47","2248.33"
"33","SUCCESS","04","04","648.01","2933.54","3581.55","2924.74","3572.75","1944.04"
"34","SUCCESS","02","02","450.8","3225.68","3676.48","3216.88","3667.68","1352.39"
"62","SUCCESS","07","07","741.85","2994.3","3736.16","2985.5","3727.36","2225.56"
"24","SUCCESS","05","05","404.88","3340.27","3745.15","3331.47","3736.35","1214.65"
"36","SUCCESS","03","03","917.74","2969.33","3887.07","2960.53","3878.27","2753.22"
"38","SUCCESS","08","08","790.09","3101.6","3891.69","3092.8","3882.89","2370.26"
"71","SUCCESS","06","06","874.78","3030.91","3905.69","3022.11","3896.89","2624.33"
"49","SUCCESS","09","09","944.86","3034.12","3978.98","3025.32","3970.18","2834.57"
"44","SUCCESS","04","04","400.35","3581.55","3981.9","3572.75","3973.1","1201.05"
"37","SUCCESS","02","02","308.97","3676.48","3985.45","3667.68","3976.65","926.91"
"46","SUCCESS","05","05","424.09","3745.15","4169.24","3736.35","4160.44","1272.28"
"67","SUCCESS","07","07","542.4","3736.16","4278.56","3727.36","4269.76","1627.21"
"43","SUCCESS","03","03","445.76","3887.07","4332.84","3878.27","4324.04","1337.29"
"54","SUCCESS","09","09","499.93","3978.98","4478.91","3970.18","4470.11","1499.8"
"41","SUCCESS","02","02","538.52","3985.45","4523.96","3976.65","4515.16","1615.55"
"39","SUCCESS","08","08","637.29","3891.69","4528.97","3882.89","4520.17","1911.86"
"86","SUCCESS","06","06","780.6","3905.69","4686.29","3896.89","4677.49","2341.8"
"52","SUCCESS","04","04","753.13","3981.9","4735.03","3973.1","4726.23","2259.38"
"50","SUCCESS","05","05","633.19","4169.24","4802.44","4160.44","4793.64","1899.58"
"64","SUCCESS","03","03","591.6","4332.84","4924.44","4324.04","4915.64","1774.81"
"53","SUCCESS","02","02","462.6","4523.96","4986.56","4515.16","4977.76","1387.8"
"57","SUCCESS","08","08","486.16","4528.97","5015.13","4520.17","5006.33","1458.49"
"70","SUCCESS","07","07","745.93","4278.56","5024.49","4269.76","5015.69","2237.78"
"93","SUCCESS","06","06","482.19","4686.29","5168.48","4677.49","5159.68","1446.56"
"55","SUCCESS","09","09","939.89","4478.91","5418.81","4470.11","5410.01","2819.68"
"68","SUCCESS","08","08","427.35","5015.13","5442.48","5006.33","5433.68","1282.05"
"63","SUCCESS","04","04","723.16","4735.03","5458.19","4726.23","5449.39","2169.49"
"73","SUCCESS","07","07","554.21","5024.49","5578.7","5015.69","5569.9","1662.62"
"72","SUCCESS","04","04","155.1","5458.19","5613.29","5449.39","5604.49","465.29"
