"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost"
"03","SUCCESS","20","20","176.07","00.1","176.17","00","176.07","528.21"
"50","SUCCESS","07","07","185.32","00.1","185.42","00","185.32","555.95"
"07","SUCCESS","14","14","191.69","00.1","191.79","00","191.69","575.06"
"02","SUCCESS","02","02","280.92","00.1","281.02","00","280.92","842.75"
"04","SUCCESS","13","13","363.1","00.1","363.2","00","363.1","1089.3"
"05","SUCCESS","15","15","410.22","00.1","410.32","00","410.22","1230.67"
"21","SUCCESS","17","17","420.36","00.1","420.46","00","420.36","1261.07"
"00","SUCCESS","12","12","421.93","00.1","422.03","00","421.93","1265.79"
"01","SUCCESS","11","11","435.93","00.1","436.03","00","435.93","1307.8"
"28","SUCCESS","10","10","492.81","00.1","492.91","00","492.81","1478.42"
"20","SUCCESS","08","08","494.12","00.1","494.22","00","494.12","1482.37"
"71","SUCCESS","07","07","367.16","185.42","552.57","185.32","552.47","1101.47"
"40","SUCCESS","16","16","558.49","00.1","558.59","00","558.49","1675.47"
"24","SUCCESS","06","06","610","00.1","610.1","00","610","1830"
"30","SUCCESS","18","18","631.34","00.1","631.44","00","631.34","1894.03"
"29","SUCCESS","09","09","631.64","00.1","631.74","00","631.64","1894.91"
"14","SUCCESS","05","05","650.79","00.1","650.89","00","650.79","1952.37"
"13","SUCCESS","04","04","729.5","00.1","729.6","00","729.5","2188.5"
"23","SUCCESS","19","19","746.38","00.1","746.48","00","746.38","2239.14"
"47","SUCCESS","13","13","430.82","363.2","794.02","363.1","793.92","1292.47"
"08","SUCCESS","03","03","809.73","00.1","809.83","00","809.73","2429.18"
"06","SUCCESS","02","02","540.89","281.02","821.9","280.92","821.8","1622.66"
"19","SUCCESS","21","21","928.73","00.1","928.83","00","928.73","2786.18"
"72","SUCCESS","10","10","452.8","492.91","945.71","492.81","945.61","1358.41"
"110","SUCCESS","20","20","871.03","176.17","1047.2","176.07","1047.11","2613.11"
"11","SUCCESS","12","12","660.51","422.03","1082.53","421.93","1082.43","1981.52"
"37","SUCCESS","18","18","451.43","631.44","1082.88","631.34","1082.78","1354.29"
"27","SUCCESS","14","14","948.98","191.79","1140.77","191.69","1140.66","2846.94"
"41","SUCCESS","16","16","626.09","558.59","1184.68","558.49","1184.58","1878.27"
"10","SUCCESS","02","02","391.37","821.9","1213.27","821.8","1213.17","1174.11"
"56","SUCCESS","09","09","634.35","631.74","1266.09","631.64","1265.99","1903.05"
"35","SUCCESS","06","06","689.54","610.1","1299.64","610","1299.54","2068.63"
"46","SUCCESS","15","15","928.14","410.32","1338.47","410.22","1338.37","2784.43"
"94","SUCCESS","17","17","937.75","420.46","1358.2","420.36","1358.1","2813.24"
"96","SUCCESS","07","07","808.89","552.57","1361.47","552.47","1361.37","2426.67"
"151","SUCCESS","20","20","322.12","1047.2","1369.32","1047.11","1369.22","966.36"
"09","SUCCESS","03","03","589.44","809.83","1399.27","809.73","1399.17","1768.33"
"87","SUCCESS","10","10","470.46","945.71","1416.18","945.61","1416.08","1411.39"
"65","SUCCESS","13","13","625.23","794.02","1419.26","793.92","1419.16","1875.7"
"15","SUCCESS","11","11","985.41","436.03","1421.44","435.93","1421.34","2956.22"
"34","SUCCESS","05","05","817.82","650.89","1468.71","650.79","1468.61","2453.46"
"32","SUCCESS","08","08","992.15","494.22","1486.38","494.12","1486.28","2976.46"
"84","SUCCESS","09","09","260.9","1266.09","1526.99","1265.99","1526.89","782.7"
"68","SUCCESS","06","06","254.3","1299.64","1553.94","1299.54","1553.84","762.89"
"12","SUCCESS","03","03","192.93","1399.27","1592.2","1399.17","1592.1","578.8"
"52","SUCCESS","14","14","451.65","1140.77","1592.42","1140.67","1592.32","1354.95"
"16","SUCCESS","04","04","866.8","729.6","1596.4","729.5","1596.3","2600.41"
"25","SUCCESS","19","19","850.01","746.48","1596.49","746.38","1596.39","2550.03"
"58","SUCCESS","16","16","414.14","1184.68","1598.82","1184.58","1598.72","1242.42"
"43","SUCCESS","02","02","403.22","1213.27","1616.5","1213.17","1616.4","1209.67"
"51","SUCCESS","21","21","709.25","928.83","1638.08","928.73","1637.98","2127.76"
"165","SUCCESS","20","20","285.35","1369.32","1654.68","1369.22","1654.58","856.05"
"33","SUCCESS","08","08","211.33","1486.38","1697.71","1486.28","1697.61","633.99"
"79","SUCCESS","06","06","185.92","1553.94","1739.85","1553.84","1739.75","557.75"
"36","SUCCESS","05","05","296.91","1468.71","1765.62","1468.61","1765.52","890.73"
"39","SUCCESS","18","18","695.62","1082.88","1778.49","1082.78","1778.39","2086.85"
"115","SUCCESS","07","07","444.3","1361.47","1805.77","1361.37","1805.67","1332.9"
"38","SUCCESS","08","08","156.62","1697.71","1854.33","1697.61","1854.23","469.86"
"22","SUCCESS","12","12","822.6","1082.53","1905.14","1082.43","1905.04","2467.81"
"18","SUCCESS","03","03","329.08","1592.2","1921.29","1592.1","1921.19","987.25"
"114","SUCCESS","17","17","660.71","1358.2","2018.92","1358.11","2018.82","1982.13"
"78","SUCCESS","13","13","644.68","1419.26","2063.94","1419.16","2063.84","1934.05"
"61","SUCCESS","15","15","755.3","1338.47","2093.77","1338.37","2093.67","2265.91"
"62","SUCCESS","11","11","678.44","1421.44","2099.88","1421.34","2099.78","2035.31"
"172","SUCCESS","20","20","448.46","1654.68","2103.14","1654.58","2103.04","1345.38"
"54","SUCCESS","14","14","511.05","1592.42","2103.46","1592.32","2103.36","1533.14"
"89","SUCCESS","21","21","552.4","1638.08","2190.48","1637.98","2190.38","1657.2"
"111","SUCCESS","06","06","464.4","1739.85","2204.25","1739.75","2204.15","1393.2"
"108","SUCCESS","10","10","796.21","1416.18","2212.39","1416.08","2212.29","2388.63"
"154","SUCCESS","09","09","693.97","1526.99","2220.95","1526.89","2220.85","2081.9"
"26","SUCCESS","19","19","666.4","1596.49","2262.89","1596.39","2262.79","1999.2"
"45","SUCCESS","18","18","505.69","1778.49","2284.18","1778.39","2284.08","1517.08"
"44","SUCCESS","12","12","384.32","1905.14","2289.45","1905.04","2289.35","1152.95"
"60","SUCCESS","16","16","715.6","1598.82","2314.43","1598.72","2314.33","2146.81"
"146","SUCCESS","07","07","521.5","1805.77","2327.26","1805.67","2327.16","1564.49"
"49","SUCCESS","08","08","507.05","1854.33","2361.38","1854.23","2361.28","1521.14"
"57","SUCCESS","03","03","457.85","1921.29","2379.14","1921.19","2379.04","1373.55"
"48","SUCCESS","05","05","681.14","1765.62","2446.77","1765.52","2446.67","2043.43"
"67","SUCCESS","15","15","353.14","2093.77","2446.91","2093.67","2446.82","1059.43"
"59","SUCCESS","18","18","212.93","2284.18","2497.11","2284.08","2497.01","638.79"
"17","SUCCESS","04","04","915.67","1596.4","2512.07","1596.31","2511.97","2747.01"
"53","SUCCESS","02","02","963.55","1616.5","2580.05","1616.4","2579.95","2890.65"
